event_key,mkey,vehicle_num,event_num,event_code,is_defining_event,tier1_name,tier1_num,tier2_name,tier2_num,soe_group,phase_group,silver_loaded_at
704,200735,1,4,550096,False,Landing,550,Nose over/nose down,096,Abnormal Runway Contact,Landing,2026-04-03 04:05:44.570293+00:00
705,200737,1,1,507120,True,Approach-VFR pattern base,507,Controlled flight into terr/obj (CFIT),120,CFIT,Approach,2026-04-03 04:05:44.570293+00:00
706,200724,1,1,450000,True,Maneuvering,450,Unknown or undetermined,000,Other,Maneuvering,2026-04-03 04:05:44.570293+00:00
707,200730,1,1,550094,True,Landing,550,Landing gear collapse,094,Abnormal Runway Contact,Landing,2026-04-03 04:05:44.570293+00:00
708,200728,1,1,300230,True,Takeoff,300,Loss of control on ground,230,Loss of Control (Ground),Takeoff,2026-04-03 04:05:44.570293+00:00
709,200721,1,1,550095,True,Landing,550,Landing gear not configured,095,Abnormal Runway Contact,Landing,2026-04-03 04:05:44.570293+00:00
710,200722,1,1,300241,True,Takeoff,300,Aerodynamic stall/spin,241,Loss of Control (Inflight),Takeoff,2026-04-03 04:05:44.570293+00:00
711,200716,1,2,509470,False,Approach-VFR go-around,509,Collision with terr/obj (non-CFIT),470,Other,Approach,2026-04-03 04:05:44.570293+00:00
712,200716,1,3,509240,True,Approach-VFR go-around,509,Loss of control in flight,240,Loss of Control (Inflight),Approach,2026-04-03 04:05:44.570293+00:00
713,200719,1,2,300333,True,Takeoff,300,Flight control sys malf/fail,333,System/Component Failure (Non-Powerplant),Takeoff,2026-04-03 04:05:44.570293+00:00
714,200719,1,4,650470,False,Uncontrolled descent,650,Collision with terr/obj (non-CFIT),470,Other,Uncontrolled Descent,2026-04-03 04:05:44.570293+00:00
715,200719,1,5,700170,False,Post-impact,700,Fire/smoke (post-impact),170,Fire,Post-Impact,2026-04-03 04:05:44.570293+00:00
716,200719,1,7,300240,False,Takeoff,300,Loss of control in flight,240,Loss of Control (Inflight),Takeoff,2026-04-03 04:05:44.570293+00:00
