vehicle_key,mkey,vehicle_num,make,model,model_family,aircraft_category,serial_number,registration_number,damage_level,fire_type,explosion_type,number_of_engines,engine_type,ga_flight,amateur_built,operator_name,far_part,flight_operation_type,silver_loaded_at
306,200691,1,CESSNA,172P,CESSNA 172P,AIR,,N62296,Substantial,None,None,1.0,,True,False,In The Pattern,091,INST,2026-04-03 04:05:44.570293+00:00
307,200918,1,SIKORSKY AIRCRAFT CORP,S-76,SIKORSKY AIRCRAFT CORP S-76,HELI,,N36RP,Substantial,None,None,2.0,,False,False,Paradigm Helicopters LLC,135,,2026-04-03 04:05:44.570293+00:00
308,200914,1,PIPER,PA-28-140,PIPER PA-28-140,AIR,,N5714F,Substantial,None,None,1.0,REC,True,False,Piston Aviation,091,INST,2026-04-03 04:05:44.570293+00:00
309,200907,1,PIPER,PA-28R-200,PIPER PA-28R-200,AIR,,N1147X,Substantial,None,None,1.0,,True,False,,091,PERS,2026-04-03 04:05:44.570293+00:00
310,200928,1,ROBINSON HELICOPTER COMPANY,R44 II,ROBINSON HELICOPTER COMPANY R44,HELI,,N442PR,Substantial,None,None,1.0,REC,True,False,A&E AERIAL LLC,091,PERS,2026-04-03 04:05:44.570293+00:00
311,200961,1,CHAMPION,7GCBC,CHAMPION 7GCBC,AIR,,N5267X,Substantial,None,None,1.0,,True,False,,091,PERS,2026-04-03 04:05:44.570293+00:00
312,200923,1,AMERICAN CHAMPION AIRCRAFT,8KCAB,AMERICAN CHAMPION AIRCRAFT 8KCAB,AIR,,N15WJ,Substantial,None,None,1.0,,True,False,,091,PERS,2026-04-03 04:05:44.570293+00:00
313,200908,1,CESSNA,182,CESSNA 182,AIR,,N628FN,Substantial,None,None,1.0,REC,True,False,Steven Immerman,091,PERS,2026-04-03 04:05:44.570293+00:00
314,200906,1,CESSNA,172M,CESSNA 172M,AIR,,N61657,Destroyed,On-Ground,None,1.0,,True,False,BELL ORNITHOPTERS FLYING CLUB INC,091,PERS,2026-04-03 04:05:44.570293+00:00
315,200906,2,EXTRA FLUGZEUGPRODUKTIONS-UND,EA 300/LC,EXTRA FLUGZEUGPRODUKTIONS-UND EA,AIR,,N330AN,Destroyed,On-Ground,None,1.0,,True,False,,091,PERS,2026-04-03 04:05:44.570293+00:00
316,200905,1,AIRBUS CANADA,BD500,AIRBUS CANADA BD500,AIR,,C-GYLQ,None,None,None,2.0,TF,False,False,Air Canada,129,,2026-04-03 04:05:44.570293+00:00
317,200922,1,NAVAL AIRCRAFT FACTORY,N3N-3,NAVAL AIRCRAFT FACTORY N3N-3,AIR,,N45254,Substantial,None,None,1.0,REC,True,False,,091,PERS,2026-04-03 04:05:44.570293+00:00
318,200940,1,CESSNA,150,CESSNA 150,AIR,,N22998,Minor,None,None,1.0,,True,False,BUSY BEES AIRWAYS CORP,091,PERS,2026-04-03 04:05:44.570293+00:00
319,200940,2,CESSNA,172,CESSNA 172,AIR,,N6185U,Substantial,None,None,1.0,,True,False,Academy of Aviation,091,INST,2026-04-03 04:05:44.570293+00:00
320,201755,1,CESSNA,182M,CESSNA 182M,AIR,,N71331,Substantial,None,None,1.0,,True,False,,091,PERS,2026-04-03 04:05:44.570293+00:00
321,200916,1,CESSNA,152,CESSNA 152,AIR,,N89585,Substantial,None,None,1.0,REC,True,False,VINLAND FLIGHT SCHOOL LLC,091,PERS,2026-04-03 04:05:44.570293+00:00
322,201052,1,EMBRAER,ERJ190,EMBRAER ERJ190,AIR,,EC-OEC,None,None,None,2.0,,False,False,Binter Canarias S.A.,000,,2026-04-03 04:05:44.570293+00:00
323,201052,2,BEECH,300,BEECH 300,AIR,,EC-KJQ,None,None,None,2.0,,False,False,SENASA,000,,2026-04-03 04:05:44.570293+00:00
324,200960,1,ROBINSON HELICOPTER COMPANY,R44 II,ROBINSON HELICOPTER COMPANY R44,HELI,,N74435,Substantial,None,None,1.0,,False,False,POLLUX AVIATION LTD,135,,2026-04-03 04:05:44.570293+00:00
325,200904,1,CESSNA,172,CESSNA 172,AIR,,N1607F,Substantial,None,None,1.0,REC,True,False,,091,PERS,2026-04-03 04:05:44.570293+00:00
326,200899,1,EMBRAER S A,ERJ 170-200 LL,EMBRAER S A ERJ,AIR,,N110SY,None,None,None,2.0,,False,False,SKYWEST AIRLINES INC,121,,2026-04-03 04:05:44.570293+00:00
327,200903,1,GLASAIR,GlaStar,GLASAIR GLASTAR,AIR,,N605MN,Substantial,In-Flight,None,1.0,REC,True,True,,091,PERS,2026-04-03 04:05:44.570293+00:00
328,200941,1,BOEING,737,BOEING 737,,,OK-TVW,,,,,,False,False,Smartwings,129,,2026-04-03 04:05:44.570293+00:00
329,200924,1,PIPER,PA-24-250,PIPER PA-24-250,AIR,,N7412P,Substantial,None,None,1.0,,True,False,ESPYESS AVIATION LLC,091,PERS,2026-04-03 04:05:44.570293+00:00
330,200934,1,CESSNA,172H,CESSNA 172H,AIR,,N8078L,Substantial,None,None,1.0,,True,False,,091,PERS,2026-04-03 04:05:44.570293+00:00
331,200898,1,AIRBUS INDUSTRIE,A320-212,AIRBUS INDUSTRIE A320-212,AIR,,N373NW,None,None,None,2.0,,False,False,DELTA AIR LINES INC,121,,2026-04-03 04:05:44.570293+00:00
332,200929,1,BOEING,787,BOEING 787,AIR,,B-20DI,Minor,None,None,,,False,False,Juneyao Air,000,,2026-04-03 04:05:44.570293+00:00
333,200897,1,CESSNA,172R,CESSNA 172R,AIR,,N5181A,Substantial,None,None,1.0,REC,True,False,SOUTHEASTERN OKLAHOMA STATE UNIVERSITY,091,INST,2026-04-03 04:05:44.570293+00:00
334,201721,1,CESSNA,172,CESSNA 172,AIR,,5Y-GMM,Minor,None,None,,REC,False,False,,000,INST,2026-04-03 04:05:44.570293+00:00
335,200893,1,CESSNA,210D,CESSNA 210D,AIR,,N3806Y,Substantial,None,None,1.0,,True,False,,091,PERS,2026-04-03 04:05:44.570293+00:00
336,200900,1,CIRRUS DESIGN CORP,SR22,CIRRUS DESIGN CORP SR22,AIR,,N45JN,Substantial,None,None,1.0,REC,True,False,,091,PERS,2026-04-03 04:05:44.570293+00:00
337,200945,1,BOEING,787,BOEING 787,AIR,,VT-TSD,None,None,None,,,False,False,Air India,129,,2026-04-03 04:05:44.570293+00:00
338,200921,1,CESSNA,170A,CESSNA 170A,AIR,,N1755D,Substantial,None,None,1.0,REC,True,False,Boeing Employees Flying Association,091,INST,2026-04-03 04:05:44.570293+00:00
339,201009,1,BELL HELICOPTER TEXTRON CANADA,505,BELL HELICOPTER TEXTRON CANADA 505,HELI,,N505GR,Substantial,None,None,1.0,TS,True,False,Bell Training Academy,091,INST,2026-04-03 04:05:44.570293+00:00
340,200880,1,CESSNA,340,CESSNA 340,AIR,,N888MT,Substantial,On-Ground,None,2.0,,True,False,,091,PERS,2026-04-03 04:05:44.570293+00:00
341,200917,1,CESSNA,172M,CESSNA 172M,AIR,,N92356,Substantial,None,None,1.0,REC,True,False,HUB CITY AVIATION ACADEMY LLC,091,PERS,2026-04-03 04:05:44.570293+00:00
342,200912,1,CIRRUS DESIGN CORP,SR20,CIRRUS DESIGN CORP SR20,AIR,,N88SP,Substantial,None,None,1.0,REC,True,False,Nassau Flyers,091,PERS,2026-04-03 04:05:44.570293+00:00
343,200875,1,CESSNA,172S,CESSNA 172S,AIR,,N5203H,Destroyed,None,None,1.0,,True,False,Trade Winds Aviation,091,PERS,2026-04-03 04:05:44.570293+00:00
344,200887,1,BEECH,C35,BEECH C35,AIR,,N655D,Substantial,None,None,1.0,REC,True,False,,091,POSI,2026-04-03 04:05:44.570293+00:00
345,202342,1,CESSNA,414,CESSNA 414,AIR,,N1668T,Substantial,None,None,2.0,REC,True,False,,091,PERS,2026-04-03 04:05:44.570293+00:00
346,201039,1,BOEING,737,BOEING 737,AIR,,EI-IJX,None,None,None,2.0,,False,False,Ryanair,000,,2026-04-03 04:05:44.570293+00:00
347,201039,2,BOEING,737,BOEING 737,AIR,,G-DRTF,None,None,None,,,False,False,Jet2,000,,2026-04-03 04:05:44.570293+00:00
348,200864,1,PIPER,PA-28-140,PIPER PA-28-140,AIR,,N1684J,Substantial,None,None,1.0,,True,False,JARRIEL INVESTMENTS INC,091,INST,2026-04-03 04:05:44.570293+00:00
349,200874,1,VANS AIRCRAFT INC,RV-12IS,VANS AIRCRAFT INC RV-12IS,AIR,,N18HS,Substantial,None,None,1.0,REC,True,True,KETTLE MORAINE YOUTH AVIATION INC,091,PERS,2026-04-03 04:05:44.570293+00:00
350,200885,1,BOEING,727,BOEING 727,AIR,,YV665T,None,In-Flight,None,,TJ,False,False,Solar Cargo,000,,2026-04-03 04:05:44.570293+00:00
351,200867,1,BELL TEXTRON CANADA LTD,407,BELL TEXTRON CANADA LTD 407,HELI,,N38AJ,Substantial,None,None,1.0,,False,False,Life Flight Network,135,PUBU,2026-04-03 04:05:44.570293+00:00
352,201890,1,AYRES CORPORATION,S2R-T34,AYRES CORPORATION S2R-T34,AIR,,N393KW,Substantial,None,None,1.0,TP,True,False,HOPPE AIR LLC,137,AAPL,2026-04-03 04:05:44.570293+00:00
353,200865,1,CESSNA,170B,CESSNA 170B,AIR,,N4584C,Substantial,None,None,1.0,REC,True,False,,091,PERS,2026-04-03 04:05:44.570293+00:00
354,200863,1,CZECH AIRCRAFT GROUP SRO,SPORTCRUISER,CZECH AIRCRAFT GROUP SRO SPORTCRUISER,AIR,,N538SF,Substantial,None,None,1.0,,True,False,Spana Flight,091,FLTS,2026-04-03 04:05:44.570293+00:00
355,200976,1,CIRRUS DESIGN CORP,SR20,CIRRUS DESIGN CORP SR20,AIR,,N241MU,Substantial,None,None,1.0,REC,True,False,MARSHALL UNIVERSITY,091,INST,2026-04-03 04:05:44.570293+00:00
356,200848,1,RANS,S-12 Airaile,RANS S-12,AIR,,N2757A,Substantial,None,None,1.0,,True,False,,091,PERS,2026-04-03 04:05:44.570293+00:00
357,200853,1,CIRRUS DESIGN CORP,SR22,CIRRUS DESIGN CORP SR22,AIR,,N376CD,Substantial,None,None,1.0,REC,True,False,,091,PERS,2026-04-03 04:05:44.570293+00:00
358,200849,1,CESSNA,TU206,CESSNA TU206,AIR,,HK1833,Destroyed,On-Ground,Unknown,1.0,,False,False,SERVICIOS AEROEOS ESPECIALES GLOBAL LIFE AMBULANCIAS S.A.S.,000,OWRK,2026-04-03 04:05:44.570293+00:00
359,200856,1,RAYTHEON AIRCRAFT COMPANY,A36,RAYTHEON AIRCRAFT COMPANY A36,AIR,,N855DC,Substantial,None,None,1.0,,True,False,,091,PERS,2026-04-03 04:05:44.570293+00:00
360,200876,1,CESSNA,120,CESSNA 120,AIR,,N3151N,Substantial,None,None,1.0,,True,False,JOHNSON RANDON E,091,PERS,2026-04-03 04:05:44.570293+00:00
361,200882,1,AIR FLY BALONISMO E INFLAVEIS,AF-SS-94,AIR FLY BALONISMO E INFLAVEIS AF-SS-94,BALL,,N591KY,Substantial,None,None,0.0,,True,False,,091,PERS,2026-04-03 04:05:44.570293+00:00
362,200850,1,BURKHART GROB FLUGZEUGBAU,G102 CLUB ASTIR IIIB,BURKHART GROB FLUGZEUGBAU G102,GLI,,N424BG,Substantial,None,None,0.0,,True,False,ST LOUIS SOARING ASSOCIATION INC,091,PERS,2026-04-03 04:05:44.570293+00:00
363,200861,1,PIPER,PA-28-180,PIPER PA-28-180,AIR,,N7771N,Substantial,None,None,1.0,,True,False,,091,PERS,2026-04-03 04:05:44.570293+00:00
364,200847,1,CESSNA,310Q,CESSNA 310Q,AIR,,N7664Q,Destroyed,None,None,2.0,,True,False,,091,PERS,2026-04-03 04:05:44.570293+00:00
365,200879,1,CESSNA,170B,CESSNA 170B,AIR,,N170JL,Substantial,None,None,1.0,,True,False,,091,PERS,2026-04-03 04:05:44.570293+00:00
366,200873,1,CESSNA,A185F,CESSNA A185F,AIR,,N185GG,Substantial,None,None,1.0,REC,True,False,,091,PERS,2026-04-03 04:05:44.570293+00:00
367,200889,1,ROCKWELL,112,ROCKWELL 112,,,CP-2872,,,,,,False,False,,000,,2026-04-03 04:05:44.570293+00:00
368,200930,1,MCDONNELL DOUGLAS AIRCRAFT CO,MD 83,MCDONNELL DOUGLAS AIRCRAFT CO MD,AIR,,N805WA,None,None,None,2.0,,False,False,World Atlantic Airlines,121,,2026-04-03 04:05:44.570293+00:00
369,200846,1,PIPER,PA-20,PIPER PA-20,AIR,,N7050K,Substantial,None,None,1.0,,True,False,,091,INST,2026-04-03 04:05:44.570293+00:00
370,200844,1,BELL,OH-58A,BELL OH-58A,HELI,,N707EE,Substantial,None,None,1.0,TS,True,False,,091,PERS,2026-04-03 04:05:44.570293+00:00
371,200854,1,CESSNA,170,CESSNA 170,AIR,,N2589V,Substantial,None,None,1.0,REC,True,False,,091,PERS,2026-04-03 04:05:44.570293+00:00
372,200843,1,PIPER,PA-25-235,PIPER PA-25-235,AIR,,N7239Z,Substantial,None,None,1.0,REC,True,False,Zachary Wolf,137,AAPL,2026-04-03 04:05:44.570293+00:00
373,200894,1,CESSNA,172,CESSNA 172,AIR,,N2460A,Substantial,None,None,1.0,REC,True,False,AMERICAN AVIATION INC,091,INST,2026-04-03 04:05:44.570293+00:00
374,200841,1,KAMAN AEROSPACE CORP,K-1200,KAMAN AEROSPACE CORP K-1200,HELI,,N171PL,Substantial,None,None,1.0,TS,True,False,Columbia Basin Helicopter,133,FIRF,2026-04-03 04:05:44.570293+00:00
375,200845,1,CIRRUS DESIGN CORP,SR22T,CIRRUS DESIGN CORP SR22T,AIR,,N561RT,Substantial,None,None,1.0,REC,True,False,,091,PERS,2026-04-03 04:05:44.570293+00:00
376,200839,1,CESSNA,A185F,CESSNA A185F,AIR,,N714HE,Substantial,None,None,1.0,,True,False,,091,FERY,2026-04-03 04:05:44.570293+00:00
377,200840,1,EUROCOPTER,AS 350 B2,EUROCOPTER AS,HELI,,N149TH,Substantial,None,None,1.0,,True,False,TEMSCO HELICOPTERS INC,091,POSI,2026-04-03 04:05:44.570293+00:00
378,202581,1,BELL HELICOPTER TEXTRON CANADA,206L-3,BELL HELICOPTER TEXTRON CANADA 206L-3,HELI,,N17TL,Substantial,None,None,1.0,,True,False,925DT LLC,091,PERS,2026-04-03 04:05:44.570293+00:00
379,200837,1,PARKS,FOKKER D-VII REPLICA,PARKS FOKKER,AIR,,N18852,Substantial,None,None,1.0,REC,True,True,,091,POSI,2026-04-03 04:05:44.570293+00:00
380,200852,1,CESSNA,172,CESSNA 172,AIR,,N505LP,Substantial,None,None,1.0,REC,True,False,WIFA (WASHINGTON INTERNATIONAL FLIGHT ACADEMY) LLC,091,INST,2026-04-03 04:05:44.570293+00:00
381,200858,1,CESSNA,210,CESSNA 210,AIR,,N761SV,Substantial,None,None,1.0,REC,True,False,,091,PERS,2026-04-03 04:05:44.570293+00:00
382,200835,1,CESSNA,172,CESSNA 172,AIR,,N1401E,Substantial,None,None,1.0,REC,True,False,,091,PERS,2026-04-03 04:05:44.570293+00:00
383,200859,1,PIPER,PA32R,PIPER PA32R,AIR,,N990DM,Substantial,None,None,1.0,REC,True,False,,091,PERS,2026-04-03 04:05:44.570293+00:00
384,200862,1,HELIO,H-395,HELIO H-395,AIR,,N44344,Substantial,None,None,1.0,,True,False,Daniel J Michels,091,BUS,2026-04-03 04:05:44.570293+00:00
385,200883,1,AIRBUS HELICOPTERS,AS350B3e,AIRBUS HELICOPTERS AS350B3E,HELI,,N589SH,Substantial,None,None,1.0,TS,True,False,Soloy Helicopters LLC,133,EXLD,2026-04-03 04:05:44.570293+00:00
386,200831,1,ELMWOOD,CHRISTAVIA,ELMWOOD CHRISTAVIA,AIR,,N383JA,Substantial,None,None,1.0,REC,True,True,,091,PERS,2026-04-03 04:05:44.570293+00:00
387,200984,1,BEECH,95-B55 (T42A),BEECH 95-B55,AIR,,N8313N,Substantial,None,None,2.0,REC,True,False,ST PETE AVIATION SERVICES LLC,091,PERS,2026-04-03 04:05:44.570293+00:00
388,200860,1,PATRIOT AIRCRAFT LLC,CX1900A,PATRIOT AIRCRAFT LLC CX1900A,AIR,,N150SP,Substantial,None,None,1.0,REC,True,False,,091,BUS,2026-04-03 04:05:44.570293+00:00
389,200819,1,PIPER,PA-22-160,PIPER PA-22-160,AIR,,N9314D,Substantial,None,None,1.0,REC,True,False,,091,PERS,2026-04-03 04:05:44.570293+00:00
390,200829,1,EXP,Supercub,EXP SUPERCUB,AIR,,N633JC,Substantial,None,None,1.0,REC,True,True,,091,FLTS,2026-04-03 04:05:44.570293+00:00
391,200833,1,VU HOLDINGS LLC/DBA VANILLA UN,VA 001,VU HOLDINGS LLC/DBA VANILLA UN VA,UNMANNED,,N246VU,Substantial,None,None,1.0,,False,False,VU HOLDINGS LLC,000,PUBF,2026-04-03 04:05:44.570293+00:00
392,200901,1,AIRBUS,A320,AIRBUS A320,AIR,,F-HBNJ,None,None,None,,,False,False,,000,,2026-04-03 04:05:44.570293+00:00
393,200826,1,MARSHALL ALLEN L,RV6A,MARSHALL ALLEN L RV6A,AIR,,N692AC,Substantial,None,None,1.0,,True,True,,091,PERS,2026-04-03 04:05:44.570293+00:00
394,200884,1,CESSNA,182,CESSNA 182,AIR,,N691DM,Substantial,None,None,1.0,REC,True,False,,091,PERS,2026-04-03 04:05:44.570293+00:00
395,200822,1,BOEING,B75N1,BOEING B75N1,AIR,,N14GC,Substantial,None,None,1.0,REC,True,False,,091,PERS,2026-04-03 04:05:44.570293+00:00
396,200808,1,LANCAIR,NLA-275-FR-C,LANCAIR NLA-275-FR-C,AIR,,N345LA,Destroyed,On-Ground,None,1.0,,True,True,FIVE LIME ALPHA LLC,091,PERS,2026-04-03 04:05:44.570293+00:00
397,201731,1,CESSNA,172M,CESSNA 172M,AIR,,N20490,Substantial,None,None,1.0,REC,True,False,,091,PERS,2026-04-03 04:05:44.570293+00:00
398,200888,1,EMBRAER,EMB721,EMBRAER EMB721,AIR,,CP-2003,Substantial,None,None,,,False,False,,000,,2026-04-03 04:05:44.570293+00:00
399,200872,1,CESSNA,A185F,CESSNA A185F,AIR,,N9BB,Substantial,None,None,1.0,REC,True,False,,091,PERS,2026-04-03 04:05:44.570293+00:00
400,200828,1,JMB AIRCRAFT S R O,VL-3LSA-912,JMB AIRCRAFT S R O VL-3LSA-912,AIR,,N593TT,Substantial,None,None,1.0,REC,True,False,N593TT RENTAL LLC,091,PERS,2026-04-03 04:05:44.570293+00:00
401,200814,1,HELIO,H-391B,HELIO H-391B,AIR,,N4431U,Substantial,None,None,1.0,REC,True,False,,091,PERS,2026-04-03 04:05:44.570293+00:00
402,200866,1,SCODA AERONAUTICA LTDA,SUPER PETREL LS,SCODA AERONAUTICA LTDA SUPER,AIR,,N999XX,Substantial,None,None,1.0,REC,True,False,,091,PERS,2026-04-03 04:05:44.570293+00:00
403,200891,1,DAVID ULLMAN,JABIRWATT,DAVID ULLMAN JABIRWATT,AIR,,N824DW,Substantial,None,None,1.0,,True,True,,091,PERS,2026-04-03 04:05:44.570293+00:00
404,200870,1,ROBINSON HELICOPTER COMPANY,R44 II,ROBINSON HELICOPTER COMPANY R44,HELI,,N877DR,Substantial,None,None,1.0,REC,True,False,,091,PERS,2026-04-03 04:05:44.570293+00:00
405,201791,1,THRUSH AIRCRAFT LLC,S2R-T660,THRUSH AIRCRAFT LLC S2R-T660,AIR,,N7001B,Substantial,None,None,1.0,,True,False,Thrush Aircraft LLC,091,FLTS,2026-04-03 04:05:44.570293+00:00
406,200895,1,QUICKSILVER,MX II,QUICKSILVER MX,ULTR,,U-M22,Destroyed,Unknown,Unknown,,,False,False,Phuket Flying Club,000,INST,2026-04-03 04:05:44.570293+00:00
407,200803,1,CESSNA,140,CESSNA 140,AIR,,N89447,Unknown,None,None,1.0,,True,False,,091,PERS,2026-04-03 04:05:44.570293+00:00
408,200825,1,CESSNA,172,CESSNA 172,AIR,,N6208C,Substantial,None,None,1.0,,True,False,,091,PERS,2026-04-03 04:05:44.570293+00:00
409,201860,1,CESSNA,172,CESSNA 172,AIR,,AP-BLO,Destroyed,None,None,,,False,False,,000,,2026-04-03 04:05:44.570293+00:00
410,200869,1,PIPER,PA-28-181,PIPER PA-28-181,AIR,,N8150J,Substantial,None,None,1.0,,True,False,,091,PERS,2026-04-03 04:05:44.570293+00:00
411,200802,1,CENTRAIR,101A,CENTRAIR 101A,GLI,,N99KG,Substantial,None,None,0.0,NONE,True,False,,091,PERS,2026-04-03 04:05:44.570293+00:00
412,201049,1,AEROSPOOL,WT9 DYNAMIC LSA,AEROSPOOL WT9,AIR,,HB-WZN,Substantial,None,None,,,False,False,,000,,2026-04-03 04:05:44.570293+00:00
413,200815,1,ROBINSON HELICOPTER COMPANY,R44 II,ROBINSON HELICOPTER COMPANY R44,HELI,,N24DF,Substantial,None,None,1.0,,True,False,CAPE COPTERS LLC,091,BUS,2026-04-03 04:05:44.570293+00:00
414,200913,1,AIRBUS,A320-214,AIRBUS A320-214,AIR,,N837VA,None,None,None,2.0,TF,False,False,Global Crossing Airlines,121,,2026-04-03 04:05:44.570293+00:00
415,200913,2,LEONARDO,AW139,LEONARDO AW139,HELI,,XA-KRY,None,None,None,,,False,False,Transportes Aereos Pegaso,000,,2026-04-03 04:05:44.570293+00:00
416,200811,1,GRUMMAN AMERICAN AVN. CORP.,G-164B,GRUMMAN AMERICAN AVN. CORP. G-164B,AIR,,N7015N,Substantial,None,None,1.0,,True,False,Christopher Larson,137,AAPL,2026-04-03 04:05:44.570293+00:00
417,200801,1,CESSNA,172,CESSNA 172,AIR,,N7205Q,Substantial,None,None,1.0,,True,False,N7205Q LLC,091,INST,2026-04-03 04:05:44.570293+00:00
418,200816,1,MD HELICOPTERS INC,600N,MD HELICOPTERS INC 600N,HELI,,N600MW,Substantial,None,None,1.0,TS,True,False,RN064 INC OWNER TRUSTEE,000,UNK,2026-04-03 04:05:44.570293+00:00
419,200793,1,PIPER,PA-12,PIPER PA-12,AIR,,N4014M,Substantial,None,None,1.0,,True,False,,091,PERS,2026-04-03 04:05:44.570293+00:00
420,200791,1,AIRBUS,A319,AIRBUS A319,AIR,,C-GSJB,None,None,None,2.0,,False,False,Air Canada Rouge LP,129,,2026-04-03 04:05:44.570293+00:00
421,200796,1,CESSNA,560XL,CESSNA 560XL,AIR,,N802TD,Substantial,None,None,2.0,,True,False,ALLIANCE AVIATION GROUP LLC,091,BUS,2026-04-03 04:05:44.570293+00:00
422,200810,1,PIPER,PA-18-150,PIPER PA-18-150,AIR,,N476SM,Substantial,None,None,1.0,,True,False,DRAKE AERIAL ENTERPRISES LLC,091,BANT,2026-04-03 04:05:44.570293+00:00
423,200817,1,BOEING,737,BOEING 737,AIR,,G-TUKR,None,None,None,,,False,False,TUI Airways,129,,2026-04-03 04:05:44.570293+00:00
424,200786,1,CESSNA,172L,CESSNA 172L,AIR,,N2860Q,Destroyed,None,None,1.0,,True,False,Pilot,091,PERS,2026-04-03 04:05:44.570293+00:00
425,200789,1,PIPER,PA-28-180,PIPER PA-28-180,AIR,,N2691T,Substantial,None,None,1.0,,True,False,,091,PERS,2026-04-03 04:05:44.570293+00:00
426,200797,1,BOEING,787,BOEING 787,AIR,,ZK-NZR,None,None,None,2.0,,False,False,,000,,2026-04-03 04:05:44.570293+00:00
427,200790,1,BEECH,M35,BEECH M35,AIR,,N951T,Destroyed,On-Ground,None,1.0,,True,False,,091,PERS,2026-04-03 04:05:44.570293+00:00
428,200806,1,BOEING,737,BOEING 737,AIR,,VH-IJU,None,None,None,,,False,False,,129,,2026-04-03 04:05:44.570293+00:00
429,200779,1,CESSNA,P210,CESSNA P210,AIR,,N92MS,Substantial,None,None,1.0,,True,False,CIL N92MS LLC,091,PERS,2026-04-03 04:05:44.570293+00:00
430,200813,1,CIRRUS DESIGN CORP,SR22,CIRRUS DESIGN CORP SR22,AIR,,N654CD,Substantial,None,None,1.0,REC,True,False,,091,INST,2026-04-03 04:05:44.570293+00:00
431,200809,1,MOONEY,M20M,MOONEY M20M,AIR,,N42FA,Substantial,None,None,1.0,REC,True,False,Private Individual,000,PERS,2026-04-03 04:05:44.570293+00:00
432,200827,1,VANS AIRCRAFT,RV14,VANS AIRCRAFT RV14,AIR,,N29JM,Substantial,None,None,1.0,REC,True,False,,091,PERS,2026-04-03 04:05:44.570293+00:00
433,200795,1,BOEING,737,BOEING 737,AIR,,9H-VVL,Minor,None,None,2.0,,False,False,,000,,2026-04-03 04:05:44.570293+00:00
434,200805,1,BOEING,747-8F,BOEING 747-8F,AIR,,N613UP,Minor,None,None,4.0,TF,False,False,UPS,121,,2026-04-03 04:05:44.570293+00:00
435,200959,1,CESSNA,560,CESSNA 560,AIR,,VH-OHE,None,None,None,,,False,False,,000,,2026-04-03 04:05:44.570293+00:00
436,200785,1,CESSNA,150,CESSNA 150,AIR,,N9400U,Substantial,None,None,1.0,,True,False,,091,PERS,2026-04-03 04:05:44.570293+00:00
437,200778,1,XAG,P100 PRO,XAG P100,HELI,,N467GE,Substantial,None,None,4.0,ELEC,True,False,,137,AAPL,2026-04-03 04:05:44.570293+00:00
438,200770,1,VANS,RV-7A,VANS RV-7A,AIR,,N30SG,Substantial,None,None,1.0,,True,True,,091,PERS,2026-04-03 04:05:44.570293+00:00
439,200890,1,CESSNA,TR182,CESSNA TR182,AIR,,N619MW,Substantial,None,None,1.0,,True,False,Mark Williams,091,PERS,2026-04-03 04:05:44.570293+00:00
440,200777,1,PASCHAL JR ROY E,VELOCITY XL RG,PASCHAL JR ROY E VELOCITY,AIR,,N7778M,Substantial,None,None,1.0,REC,True,True,,091,PERS,2026-04-03 04:05:44.570293+00:00
441,200726,1,STOLP STARDUSTER,SA300,STOLP STARDUSTER SA300,AIR,,N983AM,Substantial,None,None,1.0,,True,True,,091,PERS,2026-04-03 04:05:44.570293+00:00
442,200772,1,PITTS,S-1T,PITTS S-1T,AIR,,N51HC,Substantial,None,None,1.0,,True,True,,091,PERS,2026-04-03 04:05:44.570293+00:00
443,200763,1,NORTH AMERICAN,T-28B,NORTH AMERICAN T-28B,AIR,,N28XT,Substantial,None,None,1.0,,True,False,,091,PERS,2026-04-03 04:05:44.570293+00:00
444,200769,1,SOCATA,TBM 700,SOCATA TBM,AIR,,N860CA,Destroyed,On-Ground,None,1.0,TP,True,False,Decagon Services INC,091,BUS,2026-04-03 04:05:44.570293+00:00
445,200775,1,PIPER,PA-12,PIPER PA-12,AIR,,N2504M,Substantial,None,None,1.0,,True,False,AERIAL MESSAGES LEASING CO,091,BANT,2026-04-03 04:05:44.570293+00:00
446,200764,1,DE HAVILLAND,DHC-6-300,DE HAVILLAND DHC-6-300,AIR,,N344CS,Substantial,None,None,2.0,,False,False,Rampart Aviation,135,,2026-04-03 04:05:44.570293+00:00
447,200757,1,HILLER,UH-12E,HILLER UH-12E,HELI,,N703WA,Substantial,None,None,1.0,TS,True,False,ANTHONY GHIDOSSI CHEMICAL LLC,137,AAPL,2026-04-03 04:05:44.570293+00:00
448,200824,1,AIRBUS,A320,AIRBUS A320,AIR,,VH-VQL,None,None,None,,TF,False,False,Jetstar,129,,2026-04-03 04:05:44.570293+00:00
449,200748,1,AIR TRACTOR INC,AT-502B,AIR TRACTOR INC AT-502B,AIR,,N502WF,Substantial,None,None,1.0,TP,True,False,"Midwest Custom Ag Aviation, Inc",137,,2026-04-03 04:05:44.570293+00:00
450,200746,1,AIR TRACTOR INC,AT-502,AIR TRACTOR INC AT-502,AIR,,N9193V,Substantial,None,None,1.0,,True,False,Klein Flying Services,137,AAPL,2026-04-03 04:05:44.570293+00:00
451,200768,1,MAULE,MX-7-180A,MAULE MX-7-180A,AIR,,N1052T,Substantial,None,None,1.0,REC,True,False,,091,PERS,2026-04-03 04:05:44.570293+00:00
