vehicle_key,mkey,vehicle_num,make,model,model_family,aircraft_category,serial_number,registration_number,damage_level,fire_type,explosion_type,number_of_engines,engine_type,ga_flight,amateur_built,operator_name,far_part,flight_operation_type,silver_loaded_at
194,200819,1,PIPER,PA-22-160,PIPER PA-22-160,AIR,,N9314D,Substantial,None,None,1.0,REC,True,False,,091,PERS,2026-04-03 04:05:44.570293+00:00
195,200820,1,CESSNA,180G,CESSNA 180G,AIR,,N4721U,Substantial,None,None,1.0,REC,True,False,,091,PERS,2026-04-03 04:05:44.570293+00:00
196,200808,1,LANCAIR,NLA-275-FR-C,LANCAIR NLA-275-FR-C,AIR,,N345LA,Destroyed,On-Ground,None,1.0,,True,True,FIVE LIME ALPHA LLC,091,PERS,2026-04-03 04:05:44.570293+00:00
197,201731,1,CESSNA,172M,CESSNA 172M,AIR,,N20490,Substantial,None,None,1.0,REC,True,False,,091,PERS,2026-04-03 04:05:44.570293+00:00
198,200790,1,BEECH,M35,BEECH M35,AIR,,N951T,Destroyed,On-Ground,None,1.0,,True,False,,091,PERS,2026-04-03 04:05:44.570293+00:00
199,200888,1,EMBRAER,EMB721,EMBRAER EMB721,AIR,,CP-2003,Substantial,None,None,,,False,False,,000,,2026-04-03 04:05:44.570293+00:00
200,200872,1,CESSNA,A185F,CESSNA A185F,AIR,,N9BB,Substantial,None,None,1.0,REC,True,False,,091,PERS,2026-04-03 04:05:44.570293+00:00
201,200828,1,JMB AIRCRAFT S R O,VL-3LSA-912,JMB AIRCRAFT S R O VL-3LSA-912,AIR,,N593TT,Substantial,None,None,1.0,REC,True,False,N593TT RENTAL LLC,091,PERS,2026-04-03 04:05:44.570293+00:00
202,200814,1,HELIO,H-391B,HELIO H-391B,AIR,,N4431U,Substantial,None,None,1.0,REC,True,False,,091,PERS,2026-04-03 04:05:44.570293+00:00
203,200866,1,SCODA AERONAUTICA LTDA,SUPER PETREL LS,SCODA AERONAUTICA LTDA SUPER,AIR,,N999XX,Substantial,None,None,1.0,REC,True,False,,091,PERS,2026-04-03 04:05:44.570293+00:00
204,200777,1,PASCHAL JR ROY E,VELOCITY XL RG,PASCHAL JR ROY E VELOCITY,AIR,,N7778M,Substantial,None,None,1.0,REC,True,True,,091,PERS,2026-04-03 04:05:44.570293+00:00
205,200891,1,DAVID ULLMAN,JABIRWATT,DAVID ULLMAN JABIRWATT,AIR,,N824DW,Substantial,None,None,1.0,,True,True,,091,PERS,2026-04-03 04:05:44.570293+00:00
206,200870,1,ROBINSON HELICOPTER COMPANY,R44 II,ROBINSON HELICOPTER COMPANY R44,HELI,,N877DR,Substantial,None,None,1.0,REC,True,False,,091,PERS,2026-04-03 04:05:44.570293+00:00
207,201791,1,THRUSH AIRCRAFT LLC,S2R-T660,THRUSH AIRCRAFT LLC S2R-T660,AIR,,N7001B,Substantial,None,None,1.0,,True,False,Thrush Aircraft LLC,091,FLTS,2026-04-03 04:05:44.570293+00:00
208,200832,1,PIPER,PA-18-150,PIPER PA-18-150,AIR,,N4387Z,Substantial,None,None,1.0,REC,True,False,STATE OF ALASKA,000,PUBS,2026-04-03 04:05:44.570293+00:00
209,200895,1,QUICKSILVER,MX II,QUICKSILVER MX,ULTR,,U-M22,Destroyed,Unknown,Unknown,,,False,False,Phuket Flying Club,000,INST,2026-04-03 04:05:44.570293+00:00
210,200825,1,CESSNA,172,CESSNA 172,AIR,,N6208C,Substantial,None,None,1.0,,True,False,,091,PERS,2026-04-03 04:05:44.570293+00:00
211,201860,1,CESSNA,172,CESSNA 172,AIR,,AP-BLO,Destroyed,None,None,,,False,False,,000,,2026-04-03 04:05:44.570293+00:00
212,200869,1,PIPER,PA-28-181,PIPER PA-28-181,AIR,,N8150J,Substantial,None,None,1.0,,True,False,,091,PERS,2026-04-03 04:05:44.570293+00:00
213,200802,1,CENTRAIR,101A,CENTRAIR 101A,GLI,,N99KG,Substantial,None,None,0.0,NONE,True,False,,091,PERS,2026-04-03 04:05:44.570293+00:00
214,201049,1,AEROSPOOL,WT9 DYNAMIC LSA,AEROSPOOL WT9,AIR,,HB-WZN,Substantial,None,None,,,False,False,,000,,2026-04-03 04:05:44.570293+00:00
215,200815,1,ROBINSON HELICOPTER COMPANY,R44 II,ROBINSON HELICOPTER COMPANY R44,HELI,,N24DF,Substantial,None,None,1.0,,True,False,CAPE COPTERS LLC,091,BUS,2026-04-03 04:05:44.570293+00:00
216,200913,1,AIRBUS,A320-214,AIRBUS A320-214,AIR,,N837VA,None,None,None,2.0,TF,False,False,Global Crossing Airlines,121,,2026-04-03 04:05:44.570293+00:00
217,200913,2,LEONARDO,AW139,LEONARDO AW139,HELI,,XA-KRY,None,None,None,,,False,False,Transportes Aereos Pegaso,000,,2026-04-03 04:05:44.570293+00:00
218,200811,1,GRUMMAN AMERICAN AVN. CORP.,G-164B,GRUMMAN AMERICAN AVN. CORP. G-164B,AIR,,N7015N,Substantial,None,None,1.0,,True,False,Christopher Larson,137,AAPL,2026-04-03 04:05:44.570293+00:00
219,200801,1,CESSNA,172,CESSNA 172,AIR,,N7205Q,Substantial,None,None,1.0,,True,False,N7205Q LLC,091,INST,2026-04-03 04:05:44.570293+00:00
220,200816,1,MD HELICOPTERS INC,600N,MD HELICOPTERS INC 600N,HELI,,N600MW,Substantial,None,None,1.0,TS,True,False,RN064 INC OWNER TRUSTEE,000,UNK,2026-04-03 04:05:44.570293+00:00
221,200793,1,PIPER,PA-12,PIPER PA-12,AIR,,N4014M,Substantial,None,None,1.0,,True,False,,091,PERS,2026-04-03 04:05:44.570293+00:00
222,200791,1,AIRBUS,A319,AIRBUS A319,AIR,,C-GSJB,None,None,None,2.0,,False,False,Air Canada Rouge LP,129,,2026-04-03 04:05:44.570293+00:00
223,200796,1,CESSNA,560XL,CESSNA 560XL,AIR,,N802TD,Substantial,None,None,2.0,,True,False,ALLIANCE AVIATION GROUP LLC,091,BUS,2026-04-03 04:05:44.570293+00:00
224,200810,1,PIPER,PA-18-150,PIPER PA-18-150,AIR,,N476SM,Substantial,None,None,1.0,,True,False,DRAKE AERIAL ENTERPRISES LLC,091,BANT,2026-04-03 04:05:44.570293+00:00
225,200817,1,BOEING,737,BOEING 737,AIR,,G-TUKR,None,None,None,,,False,False,TUI Airways,129,,2026-04-03 04:05:44.570293+00:00
226,200786,1,CESSNA,172L,CESSNA 172L,AIR,,N2860Q,Destroyed,None,None,1.0,,True,False,Pilot,091,PERS,2026-04-03 04:05:44.570293+00:00
227,200951,1,CESSNA,152,CESSNA 152,AIR,,N69200,Substantial,None,None,1.0,REC,True,False,,091,PERS,2026-04-03 04:05:44.570293+00:00
