ingestion_id,source_file,ingested_at,ntsb_no,event_type,mkey,event_id,report_no,report_status,report_type,most_recent_report_type,rep_gen_flag,event_date,city,state,country,latitude,longitude,airport_id,airport_name,n_number,serial_number,make,model,aircraft_category,amateur_built,number_of_engines,engine_type,far_part,scheduled,purpose_of_flight,operator,aircraft_damage,highest_injury_level,fatal_injury_count,serious_injury_count,minor_injury_count,onboard_injury_count,onground_injury_count,weather_condition,probable_cause,findings,original_published_date,docket_original_published_date,has_safety_rec,mode,docket_url,report_url
82,cases2026-04-01_20-43 copy 2.csv,2026-04-03 04:05:44.307121+00:00,ERA25LA169,ACC,199984,,,In work,,Prelim,,2025-04-09T16:05:00Z,Fredericksburg,Virginia,United States,38.268877000000003,,,,N2Z,E-2514,BEECH,A36,AIR,false,1,,091,,INST,,Substantial,Minor,0,0,2,2,0,VMC,,,,,false,Aviation,,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/199984/pdf
108,cases2026-04-01_20-43 copy 3.csv,2026-04-03 04:05:44.324332+00:00,CEN25LA173,ACC,200127,,,In work,,Prelim,,2025-04-30T20:50:00Z,Duncan,Oklahoma,United States,34.470872999999997,,DUC,Halliburton Field Airport,N2135Z,18051235,CESSNA,180F,AIR,false,1,,091,,PERS,"Prop Blast Aviation, LLC",Substantial,None,0,0,0,0,0,VMC,,,,,false,Aviation,,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200127/pdf
66,cases2026-04-01_20-43 copy 2.csv,2026-04-03 04:05:44.307121+00:00,CEN25LA155,ACC,200013,,,Completed,DirectorBrief,Final,,2025-04-11T18:20:00Z,Brady,Texas,United States,31.131834999999999,,,,UNREG,UKN,QUICKSILVER,MX II,AIR,true,1,REC,091,,PERS,,Substantial,Serious,0,1,0,1,,VMC,"The airplane’s encounter with a dust devil, which resulted in a loss of airplane control at a low altitude.","Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Altitude - Attain/maintain not possible, Environmental issues - Conditions/weather/phenomena - Wind - Dust devil/whirlwind - Effect on equipment, Environmental issues - Conditions/weather/phenomena - Wind - Dust devil/whirlwind - Ability to respond/compensate, Environmental issues - Conditions/weather/phenomena - Wind - Dust devil/whirlwind - Contributed to outcome",2025-08-21T04:00:00Z,2025-08-21T17:00:00Z,false,Aviation,https://data.ntsb.gov/Docket?ProjectID=200013,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200013/pdf
67,cases2026-04-01_20-43 copy 2.csv,2026-04-03 04:05:44.307121+00:00,DCA25WA205,INC,200151,,,N/A,,,,2025-04-11T16:45:00Z,Uberlândia,,Brazil,,,,,PR-GUI,,BOEING,737-800,,false,,,NUSC,,,GOL Transportes Aereos,,,,,,,,,,,,,false,Aviation,,None
68,cases2026-04-01_20-43 copy 2.csv,2026-04-03 04:05:44.307121+00:00,GAA25WA143,ACC,200047,,,N/A,,,,2025-04-11T16:11:00Z,Fes,,Morocco,,,,,CN-TKC,,HAWKER,800XPi,,false,,,,,,,,Minor,0,0,3,3,,,,,,,false,Aviation,,
69,cases2026-04-01_20-43 copy 2.csv,2026-04-03 04:05:44.307121+00:00,WPR25FA126,ACC,200001,,,In work,,Prelim,,2025-04-11T15:02:00Z,Reliance,Tennessee,United States,35.263382999999997,,,,N7026V,22-1373,MOONEY,M20F,AIR,false,1,,091,,PERS,CLEAR AYR LLC,Substantial,Fatal,3,0,0,3,,,,,,,false,Aviation,,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200001/pdf
70,cases2026-04-01_20-43 copy 2.csv,2026-04-03 04:05:44.307121+00:00,ERA25FA173,ACC,199995,,,In work,,Prelim,,2025-04-11T11:23:00Z,Boca Raton,Florida,United States,26.368119,,BCT,BOCA RATON,N8930N,310R0986,CESSNA,310R,AIR,false,2,,091,,PERS,,Destroyed,Fatal,3,0,1,3,1,VMC,,,,,false,Aviation,,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/199995/pdf
71,cases2026-04-01_20-43 copy 2.csv,2026-04-03 04:05:44.307121+00:00,WPR25LA125,ACC,199996,,,Completed,DirectorBrief,Final,,2025-04-10T20:45:00Z,Idaho Falls,Idaho,United States,43.514476000000002,,IDA,IDAHO FALLS RGNL,N190CG,7634,CESSNA,190,AIR,false,1,REC,091,NSCH,PERS,,Substantial,None,0,0,0,0,,VMC,The pilot’s failure to maintain directional control during the landing roll in crosswind conditions.,"Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Directional control - Not attained/maintained, Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot, Environmental issues - Conditions/weather/phenomena - Wind - Crosswind - Effect on operation",2025-09-26T04:00:00Z,2025-09-26T17:00:00Z,false,Aviation,https://data.ntsb.gov/Docket?ProjectID=199996,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/199996/pdf
72,cases2026-04-01_20-43 copy 2.csv,2026-04-03 04:05:44.307121+00:00,GAA25WA137,ACC,200010,,,N/A,,Final,,2025-04-10T17:30:00Z,Cabo San Lucas,,Mexico,22.947500000000002,,MMSL,Cabo San Lucas International,N1948Z,600,GULFSTREAM AEROSPACE,G-V,AIR,false,2,TF,135,NSCH,BUS,Talon Air,Substantial,Serious,0,1,0,1,0,VMC,,,2025-09-25T04:00:00Z,,false,Aviation,,None
73,cases2026-04-01_20-43 copy 2.csv,2026-04-03 04:05:44.307121+00:00,ERA25LA172,ACC,199992,,,Completed,DirectorBrief,Final,,2025-04-10T17:08:00Z,Folkston,Georgia,United States,30.795928,,3J6,Davis Field,N179ST,4692003,PIPER AIRCRAFT INC,PA46R-350T,AIR,false,1,REC,091,,PERS,,Substantial,Serious,0,2,1,3,,VMC,The pilot’s failure to maintain control of the airplane during a go-around.,"Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Directional control - Not attained/maintained",2026-03-19T04:00:00Z,2026-03-19T17:00:00Z,false,Aviation,https://data.ntsb.gov/Docket?ProjectID=199992,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/199992/pdf
74,cases2026-04-01_20-43 copy 2.csv,2026-04-03 04:05:44.307121+00:00,CEN25LA154,ACC,200012,,,Completed,DirectorBrief,Final,,2025-04-10T16:45:00Z,Temple,Texas,United States,31.151385000000001,,TPL,DRAUGHON-MILLER CENTRAL TEXAS RGNL,N923CR,LJ-1074,BEECH,C90,AIR,false,2,TP,091,,POSI,WC&R LLC,Substantial,None,0,0,0,0,,VMC,The failure of the left main landing gear down lock to engage and subsequent collapse of the left main landing gear.,Aircraft - Aircraft systems - Landing gear system - Main landing gear - Malfunction,2025-09-05T04:00:00Z,2025-09-05T18:00:00Z,false,Aviation,https://data.ntsb.gov/Docket?ProjectID=200012,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200012/pdf
75,cases2026-04-01_20-43 copy 2.csv,2026-04-03 04:05:44.307121+00:00,ERA25MA171,ACC,199991,,,In work,,Prelim,,2025-04-10T16:15:00Z,Jersey City,New Jersey,United States,40.728895000000001,,,,N216MH,52296,BELL,206L-4,HELI,false,1,,091,NSCH,AOBV,,Destroyed,Fatal,6,0,0,6,0,VMC,,,,,false,Aviation,,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/199991/pdf
