ingestion_id,source_file,ingested_at,ntsb_no,event_type,mkey,event_id,report_no,report_status,report_type,most_recent_report_type,rep_gen_flag,event_date,city,state,country,latitude,longitude,airport_id,airport_name,n_number,serial_number,make,model,aircraft_category,amateur_built,number_of_engines,engine_type,far_part,scheduled,purpose_of_flight,operator,aircraft_damage,highest_injury_level,fatal_injury_count,serious_injury_count,minor_injury_count,onboard_injury_count,onground_injury_count,weather_condition,probable_cause,findings,original_published_date,docket_original_published_date,has_safety_rec,mode,docket_url,report_url
530,cases2026-04-01_20-43 copy 6.csv,2026-04-03 04:05:44.358268+00:00,GAA25WA133,ACC,199976,,,N/A,,Prelim,,2025-04-02T08:30:00Z,Rondonopolis,,Brazil,-16.483889000000001,,SDWC,Agropastori Bom Pastor Aerodrome,PP-PSO,3232037,PIPER,PA32,AIR,false,1,REC,NUSN,,,,Destroyed,Fatal,1,0,0,1,,,,,,,false,Aviation,,None
531,cases2026-04-01_20-43 copy 6.csv,2026-04-03 04:05:44.358268+00:00,DCA25WA181,INC,200019,,,N/A,,Final,,2025-04-02T04:00:00Z,Mexico City,,Mexico,,,,Mexico City Airport,XA-MFO,43761,BOEING,737,AIR,false,2,,129,,,Aerovias de Mexico,None,,,,,,,,,,2026-03-12T04:00:00Z,,false,Aviation,,None
532,cases2026-04-01_20-43 copy 6.csv,2026-04-03 04:05:44.358268+00:00,ERA25LA164,ACC,199950,,,Completed,DirectorBrief,Final,,2025-04-01T20:45:00Z,Hickory,North Carolina,United States,35.743383999999999,,HKY,HICKORY RGNL,N79514,17268134,CESSNA,172N,AIR,false,1,REC,091,,INST,,Substantial,Minor,0,0,1,1,0,VMC,"The student pilot’s failure to maintain airplane control during an attempted go-around, which resulted in an aerodynamic stall/spin and collision with terrain.","Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Angle of attack - Not attained/maintained",2025-08-28T04:00:00Z,2025-08-28T17:00:00Z,false,Aviation,https://data.ntsb.gov/Docket?ProjectID=199950,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/199950/pdf
533,cases2026-04-01_20-43 copy 6.csv,2026-04-03 04:05:44.358268+00:00,ERA25FA163,ACC,199949,,,In work,,Prelim,,2025-04-01T18:04:00Z,Midvale,Ohio,United States,40.425607999999997,,PHD,New Philadelphia,N8242Q,310Q0715,CESSNA,310Q,AIR,false,2,,091,,PERS,Birds Eye View Inc,Substantial,Fatal,1,0,0,1,0,VMC,,,,,false,Aviation,,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/199949/pdf
534,cases2026-04-01_20-43 copy 6.csv,2026-04-03 04:05:44.358268+00:00,ERA25LA161,ACC,199945,,,Completed,DirectorBrief,Final,,2025-04-01T10:30:00Z,Martinsville,Virginia,United States,36.635849999999998,,MTV,BLUE RIDGE,N84065,7AC-2752,AERONCA,7AC,AIR,false,1,REC,091,,PERS,,Substantial,Minor,0,0,1,1,,VMC,The pilot inadvertently turned off the fuel selector valve on takeoff which resulted in a loss of engine power.,"Aircraft - Aircraft systems - Fuel system - Fuel selector/shutoff valve - Unintentional use/operation, Personnel issues - Action/decision - Info processing/decision - Identification/recognition - Pilot",2025-11-06T05:00:00Z,2025-11-06T18:00:00Z,false,Aviation,https://data.ntsb.gov/Docket?ProjectID=199945,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/199945/pdf
535,cases2026-04-01_20-43 copy 6.csv,2026-04-03 04:05:44.358268+00:00,GAA25WA132,ACC,199970,,,N/A,,Prelim,,2025-04-01T04:00:00Z,Bergen,Other Foreign,Norway,,,,,LN-SDB,,CHAMPION,8KCAB,AIR,false,,,NUSN,,,,Substantial,Fatal,2,0,0,2,,,,,,,false,Aviation,,None
536,cases2026-04-01_20-43 copy.csv,2026-04-03 04:05:44.370295+00:00,CEN25LA173,ACC,200127,,,In work,,Prelim,,2025-04-30T20:50:00Z,Duncan,Oklahoma,United States,34.470872999999997,,DUC,Halliburton Field Airport,N2135Z,18051235,CESSNA,180F,AIR,false,1,,091,,PERS,"Prop Blast Aviation, LLC",Substantial,None,0,0,0,0,0,VMC,,,,,false,Aviation,,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200127/pdf
537,cases2026-04-01_20-43 copy.csv,2026-04-03 04:05:44.370295+00:00,CEN25LA167,ACC,200106,,,Completed,DirectorBrief,Final,,2025-04-30T18:52:00Z,Bethany,Oklahoma,United States,35.536132000000002,,PWA,WILEY POST,N9TV,65195,BELL HELICOPTER TEXTRON CANADA,505,HELI,false,1,TS,091,,BUS,GRIFFIN TELEVISION OKC LLC,Substantial,Minor,0,0,1,1,0,VMC,"The pilot’s improper landing technique that allowed the helicopter’s right skid to get caught on the landing platform, which resulted in a dynamic rollover.","Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Lateral/bank control - Not attained/maintained, Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot",2025-06-13T04:00:00Z,2025-06-13T17:00:00Z,false,Aviation,https://data.ntsb.gov/Docket?ProjectID=200106,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200106/pdf
576,cases2026-04-01_20-43 copy.csv,2026-04-03 04:05:44.370295+00:00,ENG25WA035,INC,200230,,,N/A,,Final,,2025-04-18T13:56:00Z,Gran Canaria,Other Foreign,Spain,,,,,EC-MZZ,,TECNAM,P2006T,AIR,false,,,UNK,,,Canavia,None,,,,,,,,,,2025-08-18T04:00:00Z,,false,Aviation,,None
538,cases2026-04-01_20-43 copy.csv,2026-04-03 04:05:44.370295+00:00,ERA25LA190,ACC,200083,,,Completed,DirectorBrief,Final,,2025-04-30T11:39:00Z,Stevensville,Maryland,United States,38.976863000000002,,W29,BAY BRIDGE,N771SL,1405,CIRRUS DESIGN CORP,SR22,AIR,false,1,REC,091,,PERS,,Substantial,None,0,0,0,0,0,VMC,"The pilot’s failure to maintain control of the airplane during an aborted landing, which resulted in a runway excursion.","Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Directional control - Not attained/maintained, Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot",2025-09-16T04:00:00Z,,false,Aviation,,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200083/pdf
539,cases2026-04-01_20-43 copy.csv,2026-04-03 04:05:44.370295+00:00,ERA25LA196,ACC,200116,,,Completed,DirectorBrief,Final,,2025-04-30T11:29:00Z,Brasstown,North Carolina,United States,35,,None,Payne's Landing,N788MP,JA612-01-21,CHRIS WALLEN/MICHAEL PLISKE,JUST ACFT HIGHLANDER,AIR,true,1,REC,091,,PERS,,Substantial,Serious,0,1,0,1,,VMC,"The pilot’s inadvertent application of brake pressure during landing, which resulted in a nose over.","Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot, Aircraft - Aircraft systems - Landing gear system - Brake - Incorrect use/operation",2025-11-06T05:00:00Z,2025-11-06T18:00:00Z,false,Aviation,https://data.ntsb.gov/Docket?ProjectID=200116,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200116/pdf
540,cases2026-04-01_20-43 copy.csv,2026-04-03 04:05:44.370295+00:00,WPR25FA145,ACC,200080,,,In work,,Prelim,,2025-04-29T16:34:00Z,Cottonwood,California,United States,40.339239999999997,,CA04,FLYING N RANCH,N6310N,463,CHAMPION,7ECA,AIR,false,1,,091,,INST,,Destroyed,Fatal,2,0,0,2,,VMC,,,,,false,Aviation,,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200080/pdf
541,cases2026-04-01_20-43 copy.csv,2026-04-03 04:05:44.370295+00:00,GAA25WA158,INC,200157,,,N/A,,Prelim,,2025-04-29T13:20:00Z,St George Aerodrome,,Australia,-28,,,,VH-FAO,,AIR TRACTOR,AT602,AIR,false,,,UNK,,AAPL,,Minor,None,0,0,0,0,,,,,,,false,Aviation,,None
542,cases2026-04-01_20-43 copy.csv,2026-04-03 04:05:44.370295+00:00,CEN25LA164,ACC,200088,,,Completed,DirectorBrief,Final,,2025-04-29T09:40:00Z,Atlantic Ocean,,Canada,46.951667,,,,N4025K,802A-1187,AIR TRACTOR,AT802,AIR,false,1,TP,091,NSCH,FERY,,Destroyed,Fatal,1,0,0,1,,IMC,The airplane’s impact with the ocean for undetermined reasons based on the available evidence.,Not determined - Not determined - (general) - (general) - Unknown/Not determined,2025-08-12T04:00:00Z,2025-08-12T17:00:00Z,false,Aviation,https://data.ntsb.gov/Docket?ProjectID=200088,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200088/pdf
543,cases2026-04-01_20-43 copy.csv,2026-04-03 04:05:44.370295+00:00,DCA25WA219,INC,200232,,,N/A,,,,2025-04-29T04:00:00Z,Athens,,Greece,,,,,"4X-EHE, SX-TNO",,"BOEING, ATR","737, ATR72",,"false, false",,,,,,,,,,,,,,,,,,,false,Aviation,,None
544,cases2026-04-01_20-43 copy.csv,2026-04-03 04:05:44.370295+00:00,CEN25LA176,ACC,200154,,,Completed,DirectorBrief,Final,,2025-04-28T16:37:00Z,Lancaster,Texas,United States,32.590018999999998,,,,N501MS,LJ-626,BEECH,C90,AIR,false,2,TP,091,,BUS,GM INTERCOM LLC,Substantial,Serious,0,1,1,2,0,VMC,"The pilot’s improper fuel planning, which resulted in fuel exhaustion and a total loss of power to both engines.","Personnel issues - Task performance - Planning/preparation - Fuel planning - Pilot, Personnel issues - Psychological - Attention/monitoring - Task monitoring/vigilance - Pilot, Personnel issues - Experience/knowledge - Knowledge - Knowledge of procedures - Pilot, Personnel issues - Action/decision - Info processing/decision - Decision making/judgment - Pilot, Aircraft - Fluids/misc hardware - Fluids - Fuel - Fluid level",2025-08-11T04:00:00Z,2025-08-11T17:00:00Z,false,Aviation,https://data.ntsb.gov/Docket?ProjectID=200154,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200154/pdf
545,cases2026-04-01_20-43 copy.csv,2026-04-03 04:05:44.370295+00:00,ANC25FA035,ACC,200076,,,In work,,Prelim,,2025-04-28T14:55:00Z,Nanwalek,Alaska,United States,59.355632,,,,N91025,20700016,CESSNA,T207,AIR,false,1,,135,SCHD,BUS,Smokey Bay Air,Substantial,Fatal,2,1,0,3,,VMC,,,,,false,Aviation,,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200076/pdf
546,cases2026-04-01_20-43 copy.csv,2026-04-03 04:05:44.370295+00:00,WPR25LA143,ACC,200077,,,Completed,DirectorBrief,Final,,2025-04-28T14:15:00Z,Lakeview,Oregon,United States,42.161110999999998,,LKV,LAKE COUNTY,N4505R,28-21205,PIPER,PA-28-140,AIR,false,1,REC,091,,PERS,,Substantial,Serious,0,2,0,2,,VMC,The pilot’s failure to maintain directional control during the landing roll.,"Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Directional control - Not attained/maintained",2025-07-03T04:00:00Z,2025-07-03T17:00:00Z,false,Aviation,https://data.ntsb.gov/Docket?ProjectID=200077,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200077/pdf
547,cases2026-04-01_20-43 copy.csv,2026-04-03 04:05:44.370295+00:00,GAA25WA155,ACC,200136,,,N/A,,Prelim,,2025-04-28T10:45:00Z,Allen,Other Foreign,Argentina,-38.958333000000003,,,Aerodromo de Allen,LV-HTM,,CESSNA,182,AIR,false,1,,NUSN,,PERS,,Substantial,Fatal,1,0,2,2,1,,,,,,false,Aviation,,None
548,cases2026-04-01_20-43 copy.csv,2026-04-03 04:05:44.370295+00:00,WPR25LA144,ACC,200078,,,In work,,Prelim,,2025-04-26T13:15:00Z,Ontario,Oregon,United States,44.020181000000001,,ONO,,N8657R,193,SCHWEIZER,SGS 1-26B,GLI,false,0,,091,,PERS,HAGER BILL E,Substantial,None,0,0,0,0,,,,,,,false,Aviation,,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200078/pdf
549,cases2026-04-01_20-43 copy.csv,2026-04-03 04:05:44.370295+00:00,ERA25FA187,ACC,200069,,,In work,,Prelim,,2025-04-26T12:47:00Z,Sparta,Tennessee,United States,36.028064000000001,,SRB,UPPER CUMBERLAND RGNL,N242RE,31-0020,MOONEY,M20TN,AIR,false,1,,091,,PERS,,Substantial,Fatal,3,0,0,3,,VMC,,,,,false,Aviation,,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200069/pdf
550,cases2026-04-01_20-43 copy.csv,2026-04-03 04:05:44.370295+00:00,ERA25LA189,ACC,200074,,,Completed,DirectorBrief,Final,,2025-04-26T11:30:00Z,Weyers Cave,Virginia,United States,38.263832999999998,,SHD,SHENANDOAH VALLEY RGNL,N9117L,303-71,CHAMPION,7GCBC,AIR,false,1,REC,091,,INST,,Substantial,None,0,0,0,0,0,VMC,A total loss of engine power on approach due to carburetor ice.,"Aircraft - Aircraft power plant - Engine fuel and control - Fuel control/carburetor - Not specified, Environmental issues - Conditions/weather/phenomena - Temp/humidity/pressure - Conducive to carburetor icing - Effect on equipment",2026-03-18T04:00:00Z,2026-03-18T17:00:00Z,false,Aviation,https://data.ntsb.gov/Docket?ProjectID=200074,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200074/pdf
551,cases2026-04-01_20-43 copy.csv,2026-04-03 04:05:44.370295+00:00,ENG25LA053,INC,200090,,,In work,,Prelim,,2025-04-25T19:14:00Z,Honolulu,Hawaii,United States,21.317824999999999,,,,N347AZ,26264,BOEING,767,AIR,false,2,,121,NSCH,,Air Transport International,None,None,0,0,0,0,0,VMC,,,,,false,Aviation,,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200090/pdf
631,cases2026-04-01_20-43 copy.csv,2026-04-03 04:05:44.370295+00:00,DCA25WA182,INC,200021,,,N/A,,,,2025-04-05T21:00:00Z,Cairo,,Egypt,,,,,SU-GEK,,BOEING,737,,false,,,129,,,EgyptAir,,,,,,,,,,,,,false,Aviation,,None
1249,cases2026-04-01_20-53.csv,2026-04-03 04:05:44.439124+00:00,GAA25WA283,ACC,202363,,,N/A,,Prelim,,2025-09-19T04:00:00Z,Singapore,,Senegal,1.416944,,,,T7-977,,GULFSTREAM,GIV,AIR,false,2,,NUSN,,,,Minor,,,,,,,,,,,,false,Aviation,,None
552,cases2026-04-01_20-43 copy.csv,2026-04-03 04:05:44.370295+00:00,ANC25LA036,ACC,200094,,,Completed,DirectorBrief,Final,,2025-04-25T04:00:00Z,North Pole,Alaska,United States,64.710847000000001,,,,N9308K,2308,STINSON,108,AIR,false,1,REC,091,,PERS,,Substantial,Minor,0,0,1,1,,VMC,The pilot's failure to maintain obstacle clearance which resulted in an in-flight collision with a tree. Contributing to the accident was his impairment from the effects of alcohol consumption.,"Personnel issues - Physical - Impairment/incapacitation - Alcohol - Pilot, Personnel issues - Psychological - Attention/monitoring - Monitoring environment - Pilot, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Altitude - Not attained/maintained, Environmental issues - Physical environment - Object/animal/substance - Tree(s) - Effect on equipment",2025-08-11T04:00:00Z,2025-08-11T17:00:00Z,false,Aviation,https://data.ntsb.gov/Docket?ProjectID=200094,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200094/pdf
553,cases2026-04-01_20-43 copy.csv,2026-04-03 04:05:44.370295+00:00,CEN25LA163,ACC,200063,,,Completed,DirectorBrief,Final,,2025-04-24T21:51:00Z,Hartford,Illinois,United States,38.837712000000003,,,,N880SL,7130,MESSERSCHMITT-BOLKOW-BLOHM,BK 117,HELI,false,2,TS,135,NSCH,OWRK,AIR METHODS LLC,Substantial,Serious,0,3,0,3,0,VMC,"The pilot’s failure to maintain directional control during the initial climb at night from a confined area landing zone, that resulted in an impact with a tree, a loss of control, and a subsequent impact with terrain.","Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Directional control - Not attained/maintained, Personnel issues - Psychological - Attention/monitoring - Task monitoring/vigilance - Pilot, Personnel issues - Action/decision - Action - Incorrect action sequence - Pilot",2025-06-20T04:00:00Z,2025-06-20T17:00:00Z,false,Aviation,https://data.ntsb.gov/Docket?ProjectID=200063,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200063/pdf
554,cases2026-04-01_20-43 copy.csv,2026-04-03 04:05:44.370295+00:00,WPR25LA157,ACC,200175,,,Completed,DirectorBrief,Final,,2025-04-24T18:40:00Z,Fullerton,California,United States,33.872014,,FUL,FULLERTON MUNI,N415DG,0553,CIRRUS DESIGN CORP,SR22T,AIR,false,1,REC,091,,PERS,TRUONGTON AVIATION LLC,Substantial,None,0,0,0,0,,VMC,"The pilot’s failure to attain a proper touchdown point, which resulted in a runway overrun and collision with terrain.","Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot, Environmental issues - Physical environment - Terrain - Sloped/uneven terrain - Effect on equipment, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Descent/approach/glide path - Not attained/maintained",2025-08-11T04:00:00Z,2025-08-11T17:00:00Z,false,Aviation,https://data.ntsb.gov/Docket?ProjectID=200175,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200175/pdf
555,cases2026-04-01_20-43 copy.csv,2026-04-03 04:05:44.370295+00:00,ERA25FA185,ACC,200061,,,In work,,Prelim,,2025-04-24T12:35:00Z,Hampton,Virginia,United States,37.078798999999997,,LFI,LANGLEY AFB,N530RH,MXS-001,MX AIRCRAFT TECH PTY LTD,MXS,AIR,false,1,,091,,PERS,,Substantial,Fatal,1,0,0,1,0,VMC,,,,,false,Aviation,,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200061/pdf
556,cases2026-04-01_20-43 copy.csv,2026-04-03 04:05:44.370295+00:00,ERA25LA188,ACC,200073,,,In work,,Prelim,,2025-04-23T18:03:00Z,Louisburg,North Carolina,United States,36.015591999999998,,LHZ,TRIANGLE NORTH EXEC,N6386V,172RG0649,CESSNA,172RG,AIR,false,1,,091,,PERS,,Substantial,None,0,0,0,0,0,VMC,,,,,false,Aviation,,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200073/pdf
557,cases2026-04-01_20-43 copy.csv,2026-04-03 04:05:44.370295+00:00,ERA25LA186,ACC,200067,,,Completed,DirectorBrief,Final,,2025-04-23T17:21:00Z,Lakin,West Virginia,United States,38.960000000000001,,,,N591R,TE-248,BEECH,95-C55,AIR,false,2,REC,091,,PERS,,Substantial,Serious,0,1,0,1,0,VMC,"The pilot’s inadequate preflight inspection, and inadequate inflight fuel management, which resulted in a total loss of engine power due to fuel starvation and subsequent forced landing.","Personnel issues - Action/decision - Info processing/decision - Identification/recognition - Pilot, Personnel issues - Task performance - Inspection - Preflight inspection - Pilot, Aircraft - Fluids/misc hardware - Fluids - Fuel - Fluid management",2025-09-16T04:00:00Z,,false,Aviation,,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200067/pdf
558,cases2026-04-01_20-43 copy.csv,2026-04-03 04:05:44.370295+00:00,ERA25LA184,ACC,200058,,,Completed,DirectorBrief,Final,,2025-04-23T11:00:00Z,Zolfo Springs,Florida,United States,27.455556000000001,,67FL,BALD EAGLE AIRFIELD- MYAKKA HEAD,N28311,AA5B0555,GRUMMAN AMERICAN AVN. CORP.,AA-5B,AIR,false,1,REC,091,,INST,,Destroyed,None,0,0,0,0,0,VMC,The pilot’s failure to maintain control of the airplane during the takeoff. Contributing was the flight instructor’s lack of remedial action.,"Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot, Personnel issues - Action/decision - Action - Lack of action - Instructor/check pilot, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Pitch control - Not attained/maintained, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Directional control - Not attained/maintained",2026-03-19T04:00:00Z,2026-03-19T17:00:00Z,false,Aviation,https://data.ntsb.gov/Docket?ProjectID=200058,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200058/pdf
559,cases2026-04-01_20-43 copy.csv,2026-04-03 04:05:44.370295+00:00,GAA25WA144,ACC,200060,,,N/A,,Final,,2025-04-23T09:30:00Z,Sangkiang Village,,Papua New Guinea,,,,,VH-SOY,,CESSNA,188,AIR,false,,,NUSN,,,,Destroyed,Fatal,1,0,0,1,,,,,2025-07-02T04:00:00Z,,false,Aviation,,None
560,cases2026-04-01_20-43 copy.csv,2026-04-03 04:05:44.370295+00:00,DCA25WA192,INC,200064,,,N/A,,Prelim,,2025-04-22T14:53:00Z,Ras Al Khaimah,,United Arab Emirates,,,,,VT-AXZ,36336,BOEING,737,AIR,false,,,NUSC,,,Air India Express,Minor,None,0,0,0,0,,,,,,,false,Aviation,,None
561,cases2026-04-01_20-43 copy.csv,2026-04-03 04:05:44.370295+00:00,CEN25LA162,ACC,200057,,,In work,,Prelim,,2025-04-22T14:25:00Z,Fayetteville,Arkansas,United States,36.005096000000002,,KFYV,,N4795C,21063629,CESSNA,T210N,AIR,false,1,,091,,PERS,SOUTH DELTA AVIATION INC,Substantial,None,0,0,0,0,0,VMC,,,,,false,Aviation,,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200057/pdf
562,cases2026-04-01_20-43 copy.csv,2026-04-03 04:05:44.370295+00:00,GAA25WA182,ACC,200302,,,N/A,,Final,,2025-04-22T08:20:00Z,Amreli,,India,,,,,VT-VDF,,TECNAM,P2008,AIR,false,,,UNK,,,,Destroyed,Fatal,1,0,0,1,,,,,2025-10-15T04:00:00Z,,false,Aviation,,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200302/pdf
563,cases2026-04-01_20-43 copy.csv,2026-04-03 04:05:44.370295+00:00,DCA25WA301,INC,200830,,,N/A,,Final,,2025-04-22T07:30:00Z,Luton,,United Kingdom,,,EGGW,London Luton Airport,G-CRUX,,BOEING,737,AIR,false,,,NUSC,,,,None,,,,,,,,,,2025-09-04T04:00:00Z,,false,Aviation,,None
564,cases2026-04-01_20-43 copy.csv,2026-04-03 04:05:44.370295+00:00,ENG25WA030,INC,200056,,,N/A,,Final,,2025-04-22T04:00:00Z,Budapest,,Hungary,,,,,SP-RZU,,BOEING,737,AIR,false,,TF,NUSC,,,,Unknown,None,0,0,0,0,,,,,2025-07-23T04:00:00Z,,false,Aviation,,None
683,cases2026-04-01_20-43.csv,2026-04-03 04:05:44.381524+00:00,ENG25WA035,INC,200230,,,N/A,,Final,,2025-04-18T13:56:00Z,Gran Canaria,Other Foreign,Spain,,,,,EC-MZZ,,TECNAM,P2006T,AIR,false,,,UNK,,,Canavia,None,,,,,,,,,,2025-08-18T04:00:00Z,,false,Aviation,,None
565,cases2026-04-01_20-43 copy.csv,2026-04-03 04:05:44.370295+00:00,WPR25LA139,ACC,200049,,,Completed,DirectorBrief,Final,,2025-04-20T12:24:00Z,Oakland,California,United States,37.732452000000002,,KOAK,Oakland International,N22QT,40.491,DIAMOND AIRCRAFT IND INC,DA 40,AIR,false,1,REC,091,,PERS,ALAMEDA AERO CLUB,Substantial,None,0,0,0,0,,VMC,The pilot’s failure to maintain airplane control during takeoff with a left quartering crosswind.,"Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Lateral/bank control - Not attained/maintained, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Yaw control - Not attained/maintained, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Pitch control - Not attained/maintained, Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot, Environmental issues - Conditions/weather/phenomena - Wind - Crosswind - Effect on operation",2025-08-11T04:00:00Z,2025-08-11T17:00:00Z,false,Aviation,https://data.ntsb.gov/Docket?ProjectID=200049,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200049/pdf
566,cases2026-04-01_20-43 copy.csv,2026-04-03 04:05:44.370295+00:00,DCA25LA190,ACC,200055,,,Completed,DirectorBrief,Final,,2025-04-20T10:20:00Z,Tahlequah,Oklahoma,United States,36,,,,N461WN,32465,BOEING,737-7H4,AIR,false,2,TF,121,SCHD,,SOUTHWEST AIRLINES CO,None,Serious,0,1,0,1,,IMC,The airplane’s encounter with moderate turbulence during descent.,"Environmental issues - Conditions/weather/phenomena - Turbulence - Convective turbulence - Effect on personnel, Personnel issues - Action/decision - Action - Incorrect action performance - Cabin crew",2025-09-16T04:00:00Z,2025-09-16T18:00:00Z,false,Aviation,https://data.ntsb.gov/Docket?ProjectID=200055,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200055/pdf
567,cases2026-04-01_20-43 copy.csv,2026-04-03 04:05:44.370295+00:00,CEN25LA161,ACC,200040,,,Completed,DirectorBrief,Final,,2025-04-19T16:00:00Z,Estherwood,Louisiana,United States,30.126632000000001,,PVT,Private,N83871,7AC-2552,CHAMPION,AERONCA 7AC,AIR,false,1,REC,091,,PERS,,Substantial,None,0,0,0,0,,VMC,The non-certificated pilot’s failure to maintain altitude while maneuvering at low altitude that resulted in a descent and impact into terrain.,"Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Altitude - Not attained/maintained, Personnel issues - Experience/knowledge - Experience/qualifications - Qualification/certification - Pilot, Personnel issues - Psychological - Attention/monitoring - Task monitoring/vigilance - Pilot",2025-08-21T04:00:00Z,2025-08-21T17:00:00Z,false,Aviation,https://data.ntsb.gov/Docket?ProjectID=200040,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200040/pdf
568,cases2026-04-01_20-43 copy.csv,2026-04-03 04:05:44.370295+00:00,WPR25LA138,ACC,200048,,,Completed,DirectorBrief,Final,,2025-04-19T12:37:00Z,Hood River,Oregon,United States,45.674280000000003,,4S2,KEN JERNSTEDT AIRFIELD,N5786S,115,SCHWEIZER,SGS 2-33A,GLI,false,0,,091,,INST,,Substantial,None,0,0,0,0,,VMC,The glider’s encounter with atmospheric conditions where the lift was not sufficient to maintain flight.,"Environmental issues - Conditions/weather/phenomena - Temp/humidity/pressure - Thermal lifting - Contributed to outcome, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Altitude - Attain/maintain not possible",2025-07-03T04:00:00Z,2025-07-03T17:00:00Z,false,Aviation,https://data.ntsb.gov/Docket?ProjectID=200048,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200048/pdf
569,cases2026-04-01_20-43 copy.csv,2026-04-03 04:05:44.370295+00:00,WPR25LA136,ACC,200044,,,In work,,Prelim,,2025-04-19T12:06:00Z,Phoenix,Arizona,United States,33.682181,,DVT,PHOENIX - DEER VALLEY,N321WC,001,D'Apuzzo,Senior Aero Sport,AIR,true,1,,091,,PERS,N321 WHISKEY CHARLIE LLC,Substantial,None,0,0,0,0,,VMC,,,,,false,Aviation,,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200044/pdf
570,cases2026-04-01_20-43 copy.csv,2026-04-03 04:05:44.370295+00:00,ERA25FA179,ACC,200037,,,In work,,Prelim,,2025-04-19T11:16:00Z,Trilla,Illinois,United States,39.374189999999999,,NA,,N4679U,18051379,CESSNA,180,AIR,false,1,,091,,PERS,,Destroyed,Fatal,4,0,0,4,0,IMC,,,,,false,Aviation,,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200037/pdf
