finding_key,mkey,vehicle_num,finding_num,finding_code,finding_text,finding_report_text,in_probable_cause,silver_loaded_at
441,200745,1,1,0202154544,Personnel issues - Psychological - Attention/monitoring - Monitoring environment - Pilot,Personnel issues Monitoring environment - Pilot,True,2026-04-03 04:05:44.570293+00:00
442,200745,1,2,0302202087,Environmental issues - Physical environment - Object/animal/substance - Tree(s) - Awareness of condition,Environmental issues Tree(s) - Awareness of condition,True,2026-04-03 04:05:44.570293+00:00
443,200745,1,3,0302202081,Environmental issues - Physical environment - Object/animal/substance - Tree(s) - Effect on equipment,Environmental issues Tree(s) - Effect on equipment,True,2026-04-03 04:05:44.570293+00:00
444,200745,1,4,0106201220,Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Altitude - Not attained/maintained,Aircraft Altitude - Not attained/maintained,True,2026-04-03 04:05:44.570293+00:00
445,200745,1,5,0204152044,Personnel issues - Action/decision - Info processing/decision - Decision making/judgment - Pilot,Personnel issues Decision making/judgment - Pilot,True,2026-04-03 04:05:44.570293+00:00
446,200744,1,2,0204102544,Personnel issues - Action/decision - Action - Delayed action - Pilot,Personnel issues Delayed action - Pilot,True,2026-04-03 04:05:44.570293+00:00
447,200744,1,3,0302101091,Environmental issues - Physical environment - Terrain - Mountainous/hilly terrain - Contributed to outcome,Environmental issues Mountainous/hilly terrain - Contributed to outcome,False,2026-04-03 04:05:44.570293+00:00
448,200744,1,4,0106101020,Aircraft - Aircraft oper/perf/capability - Aircraft capability - Climb capability - Not attained/maintained,Aircraft Climb capability - Not attained/maintained,True,2026-04-03 04:05:44.570293+00:00
449,200804,1,1,0206304044,Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot,Personnel issues Aircraft control - Pilot,True,2026-04-03 04:05:44.570293+00:00
450,200804,1,2,0106202020,Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Directional control - Not attained/maintained,Aircraft Directional control - Not attained/maintained,True,2026-04-03 04:05:44.570293+00:00
451,200741,1,2,0206304046,Personnel issues - Task performance - Use of equip/info - Aircraft control - Student/instructed pilot,Personnel issues Aircraft control - Student/instructed pilot,True,2026-04-03 04:05:44.570293+00:00
452,200741,1,3,0106204120,Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Landing flare - Not attained/maintained,Aircraft Landing flare - Not attained/maintained,True,2026-04-03 04:05:44.570293+00:00
453,200696,1,2,0206304044,Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot,Personnel issues Aircraft control - Pilot,True,2026-04-03 04:05:44.570293+00:00
454,200696,1,3,0106200020,Aircraft - Aircraft oper/perf/capability - Performance/control parameters - (general) - Not attained/maintained,Aircraft (general) - Not attained/maintained,True,2026-04-03 04:05:44.570293+00:00
455,200749,1,4,0202154544,Personnel issues - Psychological - Attention/monitoring - Monitoring environment - Pilot,Personnel issues Monitoring environment - Pilot,True,2026-04-03 04:05:44.570293+00:00
456,200737,1,1,0206304044,Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot,Personnel issues Aircraft control - Pilot,True,2026-04-03 04:05:44.570293+00:00
457,200728,1,1,0206304044,Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot,Personnel issues Aircraft control - Pilot,True,2026-04-03 04:05:44.570293+00:00
458,200728,1,2,0106202020,Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Directional control - Not attained/maintained,Aircraft Directional control - Not attained/maintained,True,2026-04-03 04:05:44.570293+00:00
459,200712,1,2,0206304044,Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot,Personnel issues Aircraft control - Pilot,True,2026-04-03 04:05:44.570293+00:00
460,200712,1,3,0106202020,Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Directional control - Not attained/maintained,Aircraft Directional control - Not attained/maintained,False,2026-04-03 04:05:44.570293+00:00
461,200712,1,4,0106202411,Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Yaw control - Incorrect use/operation,Aircraft Yaw control - Incorrect use/operation,True,2026-04-03 04:05:44.570293+00:00
462,200693,1,1,0204152040,Personnel issues - Action/decision - Info processing/decision - Decision making/judgment - Instructor/check pilot,Personnel issues Decision making/judgment - Instructor/check pilot,True,2026-04-03 04:05:44.570293+00:00
463,200693,1,2,0106200020,Aircraft - Aircraft oper/perf/capability - Performance/control parameters - (general) - Not attained/maintained,Aircraft (general) - Not attained/maintained,True,2026-04-03 04:05:44.570293+00:00
464,200693,1,3,0204102540,Personnel issues - Action/decision - Action - Delayed action - Instructor/check pilot,Personnel issues Delayed action - Instructor/check pilot,True,2026-04-03 04:05:44.570293+00:00
465,200693,1,4,0202153540,Personnel issues - Psychological - Attention/monitoring - Monitoring other person - Instructor/check pilot,Personnel issues Monitoring other person - Instructor/check pilot,True,2026-04-03 04:05:44.570293+00:00
466,200693,1,5,0206304040,Personnel issues - Task performance - Use of equip/info - Aircraft control - Instructor/check pilot,Personnel issues Aircraft control - Instructor/check pilot,True,2026-04-03 04:05:44.570293+00:00
467,200711,1,1,0106202020,Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Directional control - Not attained/maintained,Aircraft Directional control - Not attained/maintained,True,2026-04-03 04:05:44.570293+00:00
468,200711,1,2,0303404585,Environmental issues - Conditions/weather/phenomena - Wind - Gusts - Response/compensation,Environmental issues Gusts - Response/compensation,True,2026-04-03 04:05:44.570293+00:00
469,200711,1,3,0303404582,Environmental issues - Conditions/weather/phenomena - Wind - Gusts - Effect on operation,Environmental issues Gusts - Effect on operation,True,2026-04-03 04:05:44.570293+00:00
