"NtsbNo","EventType","Mkey","EventDate","City","State","Country","ReportNo","N#","SerialNumber","HasSafetyRec","Mode","ReportType","OriginalPublishedDate","DocketOriginalPublishedDate","HighestInjuryLevel","FatalInjuryCount","SeriousInjuryCount","MinorInjuryCount","OnboardInjuryCount","OnGroundInjuryCount","ProbableCause","Findings","EventID","Latitude","Longitude ","Make","Model","AirCraftCategory","AirportID","AirportName","AmateurBuilt","NumberOfEngines","EngineType","Scheduled","PurposeOfFlight","FAR","AirCraftDamage","WeatherCondition","Operator","ReportStatus","RepGenFlag","MostRecentReportType","DocketUrl","ReportUrl"
"ERA26LA028","ACC","201944","2025-10-31T19:00:00Z","Dayton","Tennessee","United States",,"N222FT","11074","false","Aviation","",,,"None","0","0","0","0","0",,,,"35.483072999999997","-84.933640999999994","CONSOLIDATED VULTEE","28-5ACF","AIR","2A0","MARK ANTON","false","2",,,"FLTS","091","Substantial","VMC","PBY LLC","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/201944/pdf"
"WPR26LA035","ACC","201953","2025-10-31T13:27:00Z","Friday Harbor","Washington","United States",,"N9234N","4119C","false","Aviation","",,,"None","0","0","0","0",,,,,"48.523972000000001","-123.02443","MAULE","M-7-235A","AIR","FHR",,"false","1",,,"PERS","091","Substantial","VMC",,"In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/201953/pdf"
"ERA26FA027","ACC","201941","2025-10-31T11:35:00Z","Ballston Spa","New York","United States",,"N79338","548","false","Aviation","",,,"Fatal","1","1","0","2","0",,,,"43.044479000000003","-73.871565000000004","MOONEY","M20E","AIR","5B2","SARATOGA COUNTY","false","1",,,"PERS","091","Destroyed","VMC",,"In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/201941/pdf"
"ENG26LA004","INC","201942","2025-10-30T18:48:00Z","Gulf of America","Gulf of America","United States",,"N605JB","02368","false","Aviation","",,,"Minor","0","0","22","22","0",,,,"27.307020000000001","-83.925700000000006","AIRBUS","A320-232","AIR",,,"false","2",,"SCHD",,"121","Minor","VMC","JETBLUE AIRWAYS CORP","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/201942/pdf"
"GAA26WA016","ACC","201939","2025-10-30T16:01:00Z","Bentley","Other Foreign","United Kingdom",,"G-CFNF","12496","false","Aviation","","2025-11-04T05:00:00Z",,"Fatal","1","0","3","4","0",,,,"53.544243000000002","-1.129653","ROBINSON","R44","HELI",,,"false","1",,,,"NUSN","Destroyed",,,"N/A",,"Final","","None"
"CEN26LA033","ACC","201949","2025-10-30T16:00:00Z","Lakeview","Arkansas","United States",,"N2040X","18256140","false","Aviation","DirectorBrief","2026-03-13T04:00:00Z","2026-03-13T17:00:00Z","Minor","0","0","2","2",,"The pilot’s failure to maintain a proper approach path during landing which resulted in a collision with terrain short of the runway. Contributing to the accident was the improper flap position during landing, and the pilot being fatigued.","Aircraft - Aircraft systems - Flight control system - TE flap control system - Incorrect use/operation, Personnel issues - Task performance - Use of equip/info - Use of equip/system - Pilot, Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Descent/approach/glide path - Not attained/maintained, Personnel issues - Physical - Alertness/Fatigue - Lack of sleep - Pilot",,"36.350763999999998","-92.550134999999997","CESSNA","182H","AIR","3M0","Gastons","false","1","REC",,"PERS","091","Substantial","VMC",,"Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=201949","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/201949/pdf"
"WPR26LA037","ACC","201956","2025-10-29T19:20:00Z","Santa Ynez","California","United States",,"N74323","AA5B-0201","false","Aviation","",,,"None","0","0","0","0",,,,,"34.605494","-120.08063","GRUMMAN AMERICAN AVN. CORP.","AA-5B","AIR","IZA","SANTA YNEZ/KUNKLE FLD","false","1",,,"PERS","091","Substantial","VMC",,"In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/201956/pdf"
"ANC26LA020","ACC","202453","2025-10-29T13:00:00Z","Mapleton","Iowa","United States",,"N735ZD","18265807","false","Aviation","",,,"None","0","0","0","0",,,,,"42.178640000000001","-95.804181999999997","CESSNA","182Q","AIR","MEY",,"false","1",,,"PERS","091","Substantial",,,"In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/202453/pdf"
"GAA26WA019","ACC","201960","2025-10-29T04:00:00Z","San Felipe","Other Foreign","Chile",,"ULM-200",,"false","Aviation","","2025-12-27T05:00:00Z",,"Fatal","1","0","0","1","0",,,,,,"RANS","S9","AIR",,,"false",,,,,"NUSN","Destroyed",,,"N/A",,"Final","","None"
"WPR26LA034","ACC","201936","2025-10-28T19:45:00Z","La Verne","California","United States",,"N5107S","28R-7135108","false","Aviation","",,,"None","0","0","0","0",,,,,"34.091667000000001","-117.78176999999999","PIPER","PA-28R-200","AIR","POC","BRACKETT FLD","false","1",,,"PERS","091","Substantial","VMC","JDC AVIATION LLC","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/201936/pdf"
