"NtsbNo","EventType","Mkey","EventDate","City","State","Country","ReportNo","N#","SerialNumber","HasSafetyRec","Mode","ReportType","OriginalPublishedDate","DocketOriginalPublishedDate","HighestInjuryLevel","FatalInjuryCount","SeriousInjuryCount","MinorInjuryCount","OnboardInjuryCount","OnGroundInjuryCount","ProbableCause","Findings","EventID","Latitude","Longitude ","Make","Model","AirCraftCategory","AirportID","AirportName","AmateurBuilt","NumberOfEngines","EngineType","Scheduled","PurposeOfFlight","FAR","AirCraftDamage","WeatherCondition","Operator","ReportStatus","RepGenFlag","MostRecentReportType","DocketUrl","ReportUrl"
"ERA26LA059","ACC","202089","2025-11-30T19:18:00Z","Chatham","Massachusetts","United States",,"N1294P","41660","false","Aviation","",,,"None","0","0","0","0","0",,,,"41.691873999999999","-69.985229000000004","COLUMBIA AIRCRAFT MFG","LC41-550FG","AIR","CQX","CHATHAM MUNI","false","1",,,"PERS","091","Substantial","VMC",,"In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/202089/pdf"
"GAA26WA034","ACC","202081","2025-11-30T14:09:00Z","New South Wales.",,"Austria",,"VH-EWS, VH-NMG",,"false","Aviation","",,,"Fatal","1","0","0","1",,,,,"-34.180925000000002","150.811947","VANS, VANS","RV7, RV7","AIR, AIR","YWBN","Wedderburn Airport","false, false",,,,"PERS, PERS","091, 091","Substantial, Minor",,,"N/A",,"Prelim","","None"
"DCA26LA047","ACC","202083","2025-11-29T22:00:00Z","Chicago","Illinois","United States",,"N317TB, N490UA",,"false","Aviation","",,,"None","0","0","0","0",,,,,,,"EMBRAER S A, AIRBUS","ERJ 170-200 LR, A320-232",,,,"false, false",,,"SCHD, SCHD",,"121, 121",,,,"In work",,,"",""
"GAA26WA041","ACC","202123","2025-11-29T16:45:00Z","Malawa",,"Poland",,"F-HEAT","12986","false","Aviation","",,,"Fatal","2","0","0","2","0",,,,"50.012500000000003","22.141943999999999","ROBINSON","R44","HELI",,,"false","1",,,,"NUSN","Destroyed",,,"N/A",,"Prelim","","None"
"ERA26LA060","ACC","202094","2025-11-28T15:00:00Z","Okeechobee","Florida","United States",,"N711","CCX-1865-0039","false","Aviation","",,,"None","0","0","0","0",,,,,"27.266023000000001","-80.851042000000007","APACHE CUB SYSTEMS CO LLC","CCX-1865","AIR","OBE","OKEECHOBEE COUNTY","false","1",,,"PERS","091","Substantial","VMC","APACHE CUB SYSTEMS COMPANY LLC","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/202094/pdf"
"CEN26LA056","ACC","202080","2025-11-28T14:12:00Z","Downers Grove","Illinois","United States",,"N4332V","7238","false","Aviation","DirectorBrief","2026-02-13T05:00:00Z","2026-02-12T18:00:00Z","Minor","0","0","2","2","0","The pilot’s failure to maintain airplane control during an attempted go-around.","Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Directional control - Not attained/maintained, Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot",,"41.732238000000002","-88.000867","CESSNA","195","AIR","LL22","BROOKERIDGE AIR PARK","false","1","REC",,"PERS","091","Substantial","VMC",,"Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=202080","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/202080/pdf"
"GAA26WA036","ACC","202102","2025-11-28T05:00:00Z","Para De Minas","Other Foreign","Brazil",,"PS-MGQ",,"false","Aviation","","2026-01-01T05:00:00Z",,"None","0","0","0","0",,,,,,,"BEECH","E90","AIR",,,"false",,,,"BUS","NUSN","Substantial",,,"N/A",,"Final","","None"
"GAA26WA038","ACC","202107","2025-11-27T21:30:00Z","Bragado",,"Argentina",,"N86448","18802015T","false","Aviation","",,,"Serious","0","1","0","1",,,,,"-35.149721999999997","-60.530555999999997","CESSNA","A188","AIR",,,"false","1",,,"FLTS","NUSN","Substantial","VMC",,"N/A",,"Prelim","","None"
"CEN26LA055","ACC","202079","2025-11-27T17:10:00Z","Brazos","Texas","United States",,"N957DK","JA268-06-12","false","Aviation","DirectorBrief","2026-03-19T04:00:00Z","2026-03-19T17:00:00Z","Serious","0","1","0","1","0","The pilot’s failure to maintain clearance from power lines during low-level maneuvering along a river.","Personnel issues - Psychological - Attention/monitoring - Monitoring environment - Pilot, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Altitude - Not attained/maintained, Environmental issues - Physical environment - Object/animal/substance - Wire - Awareness of condition",,"30.650400000000001","-96.322599999999994","JUST","Highlander","AIR","NA",,"true","1","REC",,"PERS","091","Substantial","VMC",,"Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=202079","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/202079/pdf"
"DCA26WA045","INC","202072","2025-11-27T13:48:00Z","Kuantan",,"Malaysia",,"9M-MXU",,"false","Aviation","",,,"None","0","0","0","0",,,,,,,"BOEING","737",,,,"false",,,"SCHD",,"129",,,"MALAYSIAN AIRLINES BERHAD","N/A",,,"","None"
