"NtsbNo","EventType","Mkey","EventDate","City","State","Country","ReportNo","N#","SerialNumber","HasSafetyRec","Mode","ReportType","OriginalPublishedDate","DocketOriginalPublishedDate","HighestInjuryLevel","FatalInjuryCount","SeriousInjuryCount","MinorInjuryCount","OnboardInjuryCount","OnGroundInjuryCount","ProbableCause","Findings","EventID","Latitude","Longitude ","Make","Model","AirCraftCategory","AirportID","AirportName","AmateurBuilt","NumberOfEngines","EngineType","Scheduled","PurposeOfFlight","FAR","AirCraftDamage","WeatherCondition","Operator","ReportStatus","RepGenFlag","MostRecentReportType","DocketUrl","ReportUrl"
"ANC25LA117","ACC","201809","2025-09-30T20:42:00Z","Kotlik","Alaska","United States",,"N16SC","31-639","false","Aviation","",,,"None","0","0","0","0",,,,,"63.030667000000001","-163.53265999999999","PIPER","PA-31","AIR","PFKO","Kotlik Airport","false","2",,"SCHD","BUS","135","Substantial","VMC","Paklook Air","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/201809/pdf"
"DCA25LA341","ACC","201780","2025-09-30T17:17:00Z","Las Vegas","Nevada","United States",,"N670NK","7106","false","Aviation","",,,"Serious","0","1","1","2",,,,,"36.588718999999998","-113.91835","AIRBUS","A321","AIR",,,"false","2",,"SCHD",,"121","None","Unknown","Spirit Airlines LLC","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/201780/pdf"
"CEN25LA405","ACC","201792","2025-09-30T12:00:00Z","Longmont","Colorado","United States",,"N25SU","5204","false","Aviation","DirectorBrief","2026-03-13T04:00:00Z","2026-03-13T17:00:00Z","Minor","0","0","1","1","0","The pilot's failure to maintain directional control during takeoff.","Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Directional control - Not attained/maintained, Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot",,"40.163780000000003","-105.16222","SUKHOI","SU-26MX","AIR","LMO","Vance Brand","false","1","REC",,"PERS","091","Substantial","VMC",,"Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=201792","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/201792/pdf"
"CEN25LA404","ACC","201758","2025-09-30T10:03:00Z","Watertown","Wisconsin","United States",,"N814","1281","false","Aviation","DirectorBrief","2026-01-15T05:00:00Z","2026-01-15T18:00:00Z","None","0","0","0","0","0","The flight instructor’s failure to maintain control of the airplane following the student pilot’s bounced landing. Contributing to the accident was the flight instructor’s delayed remedial action which resulted in diminished airplane performance during the go-around.","Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Pitch control - Not attained/maintained, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Lateral/bank control - Not attained/maintained, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Yaw control - Not attained/maintained, Personnel issues - Action/decision - Action - Delayed action - Instructor/check pilot, Personnel issues - Task performance - Use of equip/info - Aircraft control - Instructor/check pilot",,"43.166316999999999","-88.728042000000002","CIRRUS","SR20","AIR","RYV","Watertown Municipal Airport","false","1","REC",,"INST","091","Substantial","VMC","Wisconsin Aviation - Four Lakes Inc.","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=201758","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/201758/pdf"
"ERA25LA375","ACC","201771","2025-09-29T20:05:00Z","Punxsutawney","Pennsylvania","United States",,"N6703A","28803","false","Aviation","DirectorBrief","2025-12-04T05:00:00Z","2025-12-04T18:00:00Z","None","0","0","0","0",,"The airplane’s collision with a deer on a runway during landing roll.","Environmental issues - Physical environment - Object/animal/substance - Animal(s)/bird(s) - Effect on equipment",,"40.966836999999998","-78.929903999999993","CESSNA","172","AIR","N35","PUNXSUTAWNEY MUNI","false","1","REC",,"PERS","091","Substantial","VMC",,"Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=201771","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/201771/pdf"
"DCA25WA346","INC","201823","2025-09-29T20:05:00Z","Smuka",,"Slovenia",,"G-DRTJ","33554","false","Aviation","","2025-11-03T05:00:00Z",,,,,,,,,,,"45.758167","14.924833","BOEING","737","AIR",,,"false","2","TF","SCHD",,"NUSC","None",,"Jet2","N/A",,"Final","","None"
"WPR25LA304","ACC","201798","2025-09-29T15:05:00Z","Avalon","California","United States",,"N2079G","51379","false","Aviation","",,,"None","0","0","0","0",,,,,"33.405650000000001","-118.41750999999999","CESSNA","182A","AIR","AVX","Catalina Airport","false","1",,,"PERS","091","Substantial",,,"In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/201798/pdf"
"CEN25LA403","ACC","201754","2025-09-29T13:00:00Z","Longmont","Colorado","United States",,"N86326","11AC-132","false","Aviation","DirectorBrief","2026-01-15T05:00:00Z","2026-01-15T18:00:00Z","None","0","0","0","0","0","The pilot’s inadequate preflight fuel planning, which resulted in a total loss of engine power due to fuel exhaustion and the pilot’s improper landing flare which resulted in a hard landing.","Personnel issues - Task performance - Planning/preparation - Fuel planning - Pilot, Aircraft - Fluids/misc hardware - Fluids - Fuel - Fluid level, Environmental issues - Physical environment - Object/animal/substance - Fence/fence post - Ability to respond/compensate, Environmental issues - Physical environment - Terrain - Rough terrain - Ability to respond/compensate, Personnel issues - Task performance - Use of equip/info - Use of equip/system - Pilot",,"40.167200000000001","-105.1019","AERONCA","11AC","AIR",,,"false","1","REC",,"PERS","091","Substantial","VMC",,"Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=201754","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/201754/pdf"
"ERA25LA371","ACC","201749","2025-09-28T18:50:00Z","Rossville","Tennessee","United States",,"N888WV","49-3401A","false","Aviation","DirectorBrief","2025-12-11T05:00:00Z","2025-12-11T18:00:00Z","Minor","0","0","1","1","0","The pilot’s failure to adequately monitor the airplane’s path during takeoff toward the setting sun. Contributing was the undetected worn and fractured tailwheel locking pin.","Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Directional control - Not attained/maintained, Personnel issues - Action/decision - Info processing/decision - Identification/recognition - Pilot, Environmental issues - Conditions/weather/phenomena - Light condition - Glare - Effect on personnel, Aircraft - Aircraft systems - Landing gear system - Landing gear steering system - Failure",,"35.173015999999997","-89.561237000000006","NORTH AMERICAN","T-6G","AIR","7TN4","PEGASUS FLD","false","1","REC",,"PERS","091","Substantial","VMC",,"Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=201749","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/201749/pdf"
"ERA25LA379","ACC","201831","2025-09-28T16:40:00Z","Oakland","Pennsylvania","United States",,"N533SE","M002","false","Aviation","DirectorBrief","2026-02-13T05:00:00Z","2026-02-12T18:00:00Z","None","0","0","0","0","0","The pilot/owner’s failure to accurately determine the airplane’s weight and performance limitations before initiating the takeoff. Contributing to the outcome was the flight instructor’s improper engine power management and landing flare, which resulted in a hard landing.","Personnel issues - Task performance - Planning/preparation - Weight/balance calculations - Unknown/Not determined, Personnel issues - Action/decision - Action - Lack of action - Pilot, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Descent rate - Not attained/maintained, Personnel issues - Task performance - Use of equip/info - Aircraft control - Instructor/check pilot",,"40.322713999999998","-78.841267999999999","MCCAA ROBERT T","AVID/KITFOX FLYER","AIR","JST","JOHN MURTHA JOHNSTOWN/CAMBRIA COUNTY","true","1","REC",,"INST","091","Substantial","VMC",,"Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=201831","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/201831/pdf"
"ERA25LA376","ACC","201775","2025-09-28T14:40:00Z","West Milford","New Jersey","United States",,"N283WT","3938","false","Aviation","DirectorBrief","2025-12-18T05:00:00Z","2025-12-18T18:00:00Z","None","0","0","0","0","0","The pilot’s improper landing flare and subsequent failure to recover from a hard bounced landing, which resulted in a loss of directional control and runway excursion.","Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot, Personnel issues - Action/decision - Action - Incorrect action performance - Pilot, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Landing flare - Not attained/maintained",,"41.128388999999999","-74.346528000000006","CIRRUS DESIGN CORP","SR22","AIR","4N1","GREENWOOD LAKE","false","1","REC",,"PERS","091","Substantial","VMC",,"Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=201775","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/201775/pdf"
"CEN25FA395","ACC","201735","2025-09-28T13:12:00Z","Klein","Texas","United States",,"N269WT","340-0104","false","Aviation","",,,"Fatal","2","0","0","2","0",,,,"30.052378000000001","-95.551942999999994","CESSNA","340","AIR","DWH","DAVID WAYNE HOOKS MEML","false","2",,,"PERS","091","Destroyed","VMC",,"In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/201735/pdf"
"ERA25LA368","ACC","201737","2025-09-28T12:26:00Z","Rotonda West","Florida","United States",,"N2090S","1MK316C","false","Aviation","",,,"None","0","0","0","0","0",,,,"26.898298","-82.338560999999999","ELMORE TRAVIS C","SEAREY","AIR",,,"false","1",,,"PERS","091","Substantial","VMC",,"In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/201737/pdf"
