"NtsbNo","EventType","Mkey","EventDate","City","State","Country","ReportNo","N#","SerialNumber","HasSafetyRec","Mode","ReportType","OriginalPublishedDate","DocketOriginalPublishedDate","HighestInjuryLevel","FatalInjuryCount","SeriousInjuryCount","MinorInjuryCount","OnboardInjuryCount","OnGroundInjuryCount","ProbableCause","Findings","EventID","Latitude","Longitude ","Make","Model","AirCraftCategory","AirportID","AirportName","AmateurBuilt","NumberOfEngines","EngineType","Scheduled","PurposeOfFlight","FAR","AirCraftDamage","WeatherCondition","Operator","ReportStatus","RepGenFlag","MostRecentReportType","DocketUrl","ReportUrl"
"CEN25LA356","ACC","200918","2025-08-31T22:02:00Z","Round Mountain","Texas","United States",,"N36RP","761037","false","Aviation","",,,"Serious","0","3","0","3","0",,,,"30.343586999999999","-98.157516999999999","SIKORSKY AIRCRAFT CORP","S-76","HELI","TA22","MIRASOL HILLS","false","2",,"NSCH",,"135","Substantial","VMC","Paradigm Helicopters LLC","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200918/pdf"
"CEN25LA353","ACC","200914","2025-08-31T21:15:00Z","Pittsfield","Illinois","United States",,"N5714F","28-24928","false","Aviation","DirectorBrief","2026-01-15T05:00:00Z","2026-01-15T18:00:00Z","None","0","0","0","0","0","The collision with a deer during the aborted landing in night visual meteorological conditions.","Environmental issues - Physical environment - Object/animal/substance - Animal(s)/bird(s) - Ability to respond/compensate, Environmental issues - Physical environment - Object/animal/substance - Animal(s)/bird(s) - Effect on equipment, Environmental issues - Physical environment - Object/animal/substance - Animal(s)/bird(s) - Contributed to outcome",,"39.638890000000004","-90.778559000000001","PIPER","PA-28-140","AIR","PPQ","Pittsfield Penstone Municipal Airport","false","1","REC",,"INST","091","Substantial","VMC","Piston Aviation","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=200914","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200914/pdf"
"WPR25FA269","ACC","200907","2025-08-31T18:20:00Z","Alta","Utah","United States",,"N1147X","28R-7535259","false","Aviation","",,,"Fatal","1","1","0","2","0",,,,"40.589585999999997","-111.62023000000001","PIPER","PA-28R-200","AIR",,,"false","1",,"NSCH","PERS","091","Substantial","VMC",,"In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200907/pdf"
"ANC25LA100","ACC","200961","2025-08-31T15:00:00Z","Sutton","Alaska","United States",,"N5267X","192","false","Aviation","",,,"None","0","0","0","0",,,,,"61.705649999999999","-148.31331","CHAMPION","7GCBC","AIR",,,"false","1",,,"PERS","091","Substantial","VMC",,"In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200961/pdf"
"WPR25LA272","ACC","200923","2025-08-31T12:00:00Z","Jamesburg","California","United States",,"N15WJ","824-99","false","Aviation","",,,"Minor","0","0","2","2","0",,,,"36.344938999999997","-121.61323","AMERICAN CHAMPION AIRCRAFT","8KCAB","AIR","SNS","SALINAS MUNI","false","1",,,"PERS","091","Substantial","VMC",,"In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200923/pdf"
"ERA25LA325","ACC","200908","2025-08-31T11:45:00Z","Lebanon","Ohio","United States",,"N628FN","18280227","false","Aviation","DirectorBrief","2025-12-04T05:00:00Z","2025-12-04T18:00:00Z","None","0","0","0","0","0","The pilot’s failure to maintain directional control of the airplane during takeoff, which resulted in a runway excursion and collision with a sign.","Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Directional control - Not attained/maintained",,"39.461514999999999","-84.254108000000002","CESSNA","182","AIR","I68","WARREN COUNTY/JOHN LANE FLD","false","1","REC",,"PERS","091","Substantial","VMC","Steven Immerman","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=200908","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200908/pdf"
"WPR25FA268","ACC","200906","2025-08-31T11:40:00Z","Fort Morgan","Colorado","United States",,"N61657, N330AN","17264706, LC051","false","Aviation","",,,"Fatal","1","1","2","4","0",,,,"40.340539999999997","-103.81023","CESSNA, EXTRA FLUGZEUGPRODUKTIONS-UND","172M, EA 300/LC","AIR, AIR","FMM","FORT MORGAN MUNI","false, false","1, 1",,,"PERS, PERS","091, 091","Destroyed, Destroyed","VMC","BELL ORNITHOPTERS FLYING CLUB INC","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200906/pdf"
"DCA25LA308","ACC","200905","2025-08-31T10:00:00Z","Denver","Colorado","United States",,"C-GYLQ","55355","false","Aviation","DirectorBrief","2026-03-17T04:00:00Z","2026-03-17T18:00:00Z","Serious","0","1","0","1",,"Unidentified burned debris in an aft galley oven, which generated smoke and odor in the cabin and led to an air turnback and subsequent evacuation, during which a serious injury occurred.","Aircraft - Aircraft systems - Equipment/furnishings - Buffet/galleys - Inadequate inspection, Environmental issues - Task environment - Physical workspace - Air quality/dust/smoke - Contributed to outcome, Personnel issues - Physical - Impairment/incapacitation - Illness/injury - Passenger",,"39.877437999999998","-104.65233000000001","AIRBUS CANADA","BD500","AIR","KDEN","Denver International Airport","false","2","TF","SCHD",,"129","None","VMC","Air Canada","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=200905","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200905/pdf"
"WPR25LA271","ACC","200922","2025-08-31T09:45:00Z","Red Lodge","Montana","United States",,"N45254","2601","false","Aviation","DirectorBrief","2025-12-11T05:00:00Z","2025-12-11T18:00:00Z","Minor","0","0","2","2","0","The pilot’s failure to maintain clearance from obstacles during an aborted landing. Contributing to the accident was the high density altitude weather condition.","Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Climb rate - Not attained/maintained, Environmental issues - Conditions/weather/phenomena - Temp/humidity/pressure - High density altitude - Effect on operation",,"45.177554000000001","-109.25565","NAVAL AIRCRAFT FACTORY","N3N-3","AIR","RED","RED LODGE","false","1","REC",,"PERS","091","Substantial","VMC",,"Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=200922","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200922/pdf"
"CEN25LA359","ACC","200928","2025-08-30T21:25:00Z","Nashville","Arkansas","United States",,"N442PR","11278","false","Aviation","DirectorBrief","2026-01-15T05:00:00Z","2026-01-15T18:00:00Z","None","0","0","0","0","0","The pilot’s inadequate fuel planning which resulted in a total loss of power due to fuel exhaustion. Contributing to the accident was the landing zone being unlit.","Personnel issues - Task performance - Planning/preparation - Fuel planning - Pilot, Aircraft - Fluids/misc hardware - Fluids - Fuel - Fluid level, Environmental issues - Physical environment - Object/animal/substance - Pole - Contributed to outcome",,"34.045000000000002","-93.783000000000001","ROBINSON HELICOPTER COMPANY","R44 II","HELI","None","Grass lot","false","1","REC",,"PERS","091","Substantial","VMC","A&E AERIAL LLC","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=200928","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200928/pdf"
