"NtsbNo","EventType","Mkey","EventDate","City","State","Country","ReportNo","N#","SerialNumber","HasSafetyRec","Mode","ReportType","OriginalPublishedDate","DocketOriginalPublishedDate","HighestInjuryLevel","FatalInjuryCount","SeriousInjuryCount","MinorInjuryCount","OnboardInjuryCount","OnGroundInjuryCount","ProbableCause","Findings","EventID","Latitude","Longitude ","Make","Model","AirCraftCategory","AirportID","AirportName","AmateurBuilt","NumberOfEngines","EngineType","Scheduled","PurposeOfFlight","FAR","AirCraftDamage","WeatherCondition","Operator","ReportStatus","RepGenFlag","MostRecentReportType","DocketUrl","ReportUrl"
"ANC26LA023","ACC","202728","2026-03-30T16:00:00Z","Cordova","Alaska","United States",,"N212PX",,"false","Aviation","",,,"None","0","0","0","0",,,,,,,"MARCIL GERRY","SPORTSMAN 2+2",,,,"false",,,,"PERS","091",,,,"In work",,,"",""
"DCA26WA168","INC","202725","2026-03-30T03:49:00Z","Sao Paulo","Other Foreign","Brazil",,"N813NW",,"false","Aviation","",,,"None","0","0","0","0",,,,,,,"AIRBUS","A330-323",,,,"false",,,"SCHD",,"121",,,"DELTA AIR LINES INC","N/A",,,"","None"
"CEN26LA151","ACC","202722","2026-03-29T19:15:00Z","Colorado Springs","Colorado","United States",,"N920CJ",,"false","Aviation","",,,"None","0","0","0","0",,,,,,,"CHAMPION","7GCB",,,,"false",,,,,,,,,"In work",,,"",""
"GAA26WA142","ACC","202734","2026-03-29T10:00:00Z","Ausnek",,"Namibia",,"D-EGZE",,"false","Aviation","",,,"Fatal","1","1","0","2",,,,,"-26.600000000000001","16.41","CESSNA","172","AIR",,,"false","1",,,"UNK","NUSN","Substantial",,,"N/A",,"Prelim","","None"
"DCA26LA167","ACC","202721","2026-03-29T04:00:00Z","Pacific Ocean",,"United States",,"N23994",,"false","Aviation","",,,"Serious","0","1","0","1",,,,,,,"BOEING","787-9",,,,"false",,,"SCHD",,"121",,,"UNITED AIRLINES INC","In work",,,"",""
"ANC26LA022","ACC","202711","2026-03-28T13:00:00Z","Skwentna","Alaska","United States",,"N94237",,"false","Aviation","",,,"None","0","0","0","0",,,,,,,"CESSNA","A185F",,,,"false",,,,"PERS","091",,"VMC",,"In work",,,"",""
"WPR26LA143","ACC","202717","2026-03-27T17:30:00Z","Lincoln","California","United States",,"N11446",,"false","Aviation","",,,,,,,,,,,,,,"PAUL D CANNON","KITFOX LIGHT SQUARED",,,,"false",,,,,"091",,,,"In work",,,"",""
"WPR26LA145","ACC","202719","2026-03-27T16:30:00Z","Sedona","Arizona","United States",,"N799TF",,"false","Aviation","",,,"None","0","0","0","0",,,,,,,"CESSNA","421B",,,,"false",,,,,,,,,"In work",,,"",""
"CEN26LA150","ACC","202720","2026-03-27T12:55:00Z","Beloit","Kansas","United States",,"N2785K","18053067","false","Aviation","",,,"None","0","0","0","0",,,,,"39.470342000000002","-98.126718999999994","CESSNA","180K","AIR","K61","MORITZ MEML","false","1",,"NSCH","PERS","091","Substantial",,,"In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/202720/pdf"
"CEN26LA153","ACC","202724","2026-03-27T11:15:00Z","Arlington","Texas","United States",,"N4059A",,"false","Aviation","",,,"None","0","0","0","0",,,,,,,"ROBINSON HELICOPTER CO","R66",,,,"false",,,,"PERS","091",,,,"In work",,,"",""
"WPR26LA144","ACC","202718","2026-03-26T15:20:00Z","Los Angeles","California","United States",,"N24932",,"false","Aviation","",,,"None","0","0","0","0",,,,,,,"CESSNA","152",,,,"false",,,,"PERS","091",,"VMC","Silver Express CO DBA","In work",,,"",""
"GAA26WA140","ACC","202706","2026-03-26T13:16:00Z","San Juan","Other Foreign","Ecuador",,"HC-CGL, HC-CKQ",,"false","Aviation","",,,"Fatal","1","0","1","2",,,,,,,"THRUSH, AIR TRACTOR","S2R, AT502",,,,"false, false",,,,,,,,,"N/A",,,"","None"
"DCA26WA166","ACC","202708","2026-03-26T08:40:00Z","Bari",,"Italy",,"9H-QEC",,"false","Aviation","",,,"Serious","0","1","1","2",,,,,,,"BOEING","737",,,,"false",,,,,,,,,"N/A",,,"","None"
"CEN26LA149","ACC","202701","2026-03-26T08:20:00Z","Atlanta","Texas","United States",,"N1653J",,"false","Aviation","",,,"None","0","0","0","0",,,,,,,"PIPER","PA28",,,,"false",,,,,"091",,"VMC",,"In work",,,"",""
"ERA26LA151","ACC","202712","2026-03-25T16:20:00Z","New Shoreham","Rhode Island","United States",,"N7081H",,"false","Aviation","",,,"Minor","0","0","2","2",,,,,,,"PIPER","PA-32-260",,,,"false",,,,"PERS","091",,"VMC",,"In work",,,"",""
"CEN26FA147","ACC","202696","2026-03-25T15:53:00Z","Statesboro","Georgia","United States",,"N220AS",,"false","Aviation","",,,"Fatal","1","0","0","1",,,,,,,"LUECK RONALD A","AIRSHARK",,,,"false",,,,"PERS","091",,,,"In work",,,"",""
"DCA26LA164","ACC","202695","2026-03-24T19:15:00Z","Dulles","Virginia","United States",,"N17316","67596","false","Aviation","",,,"Serious","0","1","0","0","1",,,,"38.945148000000003","-77.442130000000006","BOEING","737-8","AIR","IAD","WASHINGTON DULLES INTL","false","2",,"SCHD",,"121","None",,"United Airlines","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/202695/pdf"
"GAA26WA143","ACC","202735","2026-03-24T13:33:00Z","Cheonan",,"Republic Of Korea",,"HL9275",,"false","Aviation","",,,"Serious","0","1","1","2",,,,,"36.891500000000001","127.22199999999999","SIKORSKY","S61","HELI",,,"false",,,,,"NUSC","Destroyed",,,"N/A",,"Prelim","","None"
