"NtsbNo","EventType","Mkey","EventDate","City","State","Country","ReportNo","N#","SerialNumber","HasSafetyRec","Mode","ReportType","OriginalPublishedDate","DocketOriginalPublishedDate","HighestInjuryLevel","FatalInjuryCount","SeriousInjuryCount","MinorInjuryCount","OnboardInjuryCount","OnGroundInjuryCount","ProbableCause","Findings","EventID","Latitude","Longitude ","Make","Model","AirCraftCategory","AirportID","AirportName","AmateurBuilt","NumberOfEngines","EngineType","Scheduled","PurposeOfFlight","FAR","AirCraftDamage","WeatherCondition","Operator","ReportStatus","RepGenFlag","MostRecentReportType","DocketUrl","ReportUrl"
"CEN26LA075","ACC","202248","2025-12-31T19:00:00Z","Guthrie","Oklahoma","United States",,"N453DB","01","false","Aviation","",,,"None","0","0","0","0",,,,,"35.851669000000001","-97.416394999999994","DON A BAKER","BAKER-SKYBOLT","AIR","GOK",,"false","1",,,"PERS","091","Substantial",,,"In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/202248/pdf"
"CEN26LA074","ACC","202247","2025-12-31T18:03:00Z","Carbondale","Illinois","United States",,"N401MS","085","false","Aviation","",,,"Minor","0","0","1","1","0",,,,"37.769804999999998","-89.245498999999995","PITTS","S1S","AIR","MDH","SOUTHERN ILLINOIS","true","1",,,"PERS","091","Substantial","VMC",,"In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/202247/pdf"
"CEN26LA076","ACC","202249","2025-12-31T17:10:00Z","Burnet","Texas","United States",,"N559TX","2532079","false","Aviation","",,,"Serious","0","1","0","1","0",,,,"30.743124999999999","-98.236564999999999","NANCHANG CHINA","CJ-6A","AIR","BMQ","BURNET MUNI/KATE CRADDOCK FLD","false","1",,,"PERS","091","Substantial","VMC",,"In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/202249/pdf"
"GAA26WA061","ACC","202231","2025-12-31T05:00:00Z","Biobio Region","Other Foreign","Chile",,"CC-DLH","T18803827T","false","Aviation","","2026-01-12T05:00:00Z",,"None","0","0","0","0",,,,,,,"CESSNA","T188","AIR",,,"false",,,,"AAPL","NUSN","Substantial",,,"N/A",,"Final","","None"
"CEN26FA071","ACC","202228","2025-12-30T18:23:00Z","Fredericksburg","Texas","United States",,"N618AM","L2K-320","false","Aviation","",,,"Fatal","1","0","0","1","0",,,,"30.487252000000002","-98.921988999999996","LANCAIR","Legacy","AIR",,,"true","1",,,"PERS","091","Destroyed","VMC",,"In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/202228/pdf"
"ERA26LA083","ACC","202233","2025-12-30T12:54:00Z","Gulf Shores","Alabama","United States",,"N601BA","00217","false","Aviation","",,,"None","0","0","0","0","0",,,,"30.289988000000001","-87.668051000000006","ICON AIRCRAFT INC","A5","AIR","JKA","GULF SHORES INTL/JACK EDWARDS FLD","false","1",,,"INST","091","Substantial","VMC",,"In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/202233/pdf"
"ERA26LA081","ACC","202225","2025-12-30T11:30:00Z","Louisburg","North Carolina","United States",,"N506SR","1692","false","Aviation","",,,"None","0","0","0","0","0",,,,"36.025796999999997","-78.324697","CIRRUS DESIGN CORP","SR20","AIR","LHZ","TRIANGLE NORTH EXEC","false","1",,,"PERS","091","Substantial","VMC","McKnight Aviation LLC","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/202225/pdf"
"GAA26WA066","ACC","202264","2025-12-29T05:00:00Z","Guarulhos","Other Foreign","Brazil",,"PP-BAN",,"false","Aviation","",,,"Minor","0","0","2","2","0",,,,,,"ROBINSON","R44","HELI",,,"false",,,,,"NUSN","Substantial",,,"N/A",,"Prelim","","None"
"ERA26LA080","ACC","202224","2025-12-28T18:45:00Z","Frostproof","Florida","United States",,"N5062V","VAC-50","false","Aviation","",,,"None","0","0","0","0",,,,,"27.751511000000001","-81.559107999999995","VARGA AIRCRAFT CORP.","2150A","AIR","52FL","Lake Clinch Airpark","false","1",,,"PERS","091","Substantial","VMC",,"In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/202224/pdf"
"ERA26FA077","ACC","202213","2025-12-28T13:24:00Z","Hammonton","New Jersey","United States",,"N280MG, N520H","1135, 325","false","Aviation","",,,"Fatal","2","0","0","2","0",,,,"39.66095","-74.769758999999993","ENSTROM, ENSTROM","280, F28","HELI, HELI","N81","HAMMONTON MUNI","false, false","1, 1",,,"PERS, PERS","091, 091","Destroyed, Substantial","VMC","M&M CHARTER LLC","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/202213/pdf"
"ERA26LA078","ACC","202217","2025-12-28T11:50:00Z","Atlanta","Georgia","United States",,"N40BA",,"false","Aviation","",,,"Serious","0","1","1","2","0",,,,,,"BEECH","B90",,,,"false",,,,,"091",,"VMC","Lux Air","In work",,,"",""
"DCA26WA089","ACC","202269","2025-12-28T05:00:00Z","(Birmingham",,"United Kingdom",,"EI-HGO",,"false","Aviation","",,,"Serious","0","2","0","2",,,,,,,"BOEING","737-800",,,,"false",,,"SCHD",,"129",,,"Ryanair","N/A",,,"","None"
"ERA26LA079","ACC","202223","2025-12-27T19:49:00Z","Ceres","Virginia","United States",,"N89884","8929","false","Aviation","",,,"Serious","0","1","1","2","0",,,,"37.016446000000002","-81.343868000000001","CESSNA","140","AIR",,,"false","1",,,"PERS","091","Substantial","VMC","VALIAIR LC TRUSTEE","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/202223/pdf"
"WPR26LA073","ACC","202222","2025-12-27T13:09:00Z","Needles","California","United States",,"N2312T","2011 1410","false","Aviation","",,,"None","0","0","0","0",,,,,"34.766347000000003","-114.62327000000001","EVEKTOR - AEROTECHNIK A S","SPORTSTAR MAX","AIR","EED","NEEDLES","false","1",,,"PERS","091","Substantial","VMC","ATHENEAIR LLC","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/202222/pdf"
"CEN26LA068","ACC","202216","2025-12-27T11:00:00Z","Hudson","Colorado","United States",,"N239DA","C9610-0177","false","Aviation","DirectorBrief","2026-03-13T04:00:00Z","2026-03-13T17:00:00Z","None","0","0","0","0","0","The pilot’s failure to maintain control of the airplane during the landing roll.","Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Directional control - Not attained/maintained, Environmental issues - Physical environment - Runway/land/takeoff/taxi surface - (general) - Effect on operation",,"40.101059999999997","-104.70126999999999","Kitfox","CLASC IV-1200","AIR","18V","PLATTE VALLEY AIRPARK","true","1","REC",,"PERS","091","Substantial","VMC",,"Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=202216","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/202216/pdf"
"GAA26WA059","ACC","202227","2025-12-27T05:00:00Z","Rio de Janeiro","Other Foreign","Brazil",,"PT-AGB",,"false","Aviation","",,,"Fatal","1","0","0","1",,,,,,,"CESSNA","170","AIR",,,"false",,,,,"NUSN","Substantial",,,"N/A",,"Prelim","","None"
"CEN26LA082","ACC","202265","2025-12-26T18:30:00Z","Wimberley","Texas","United States",,"N437WT","103","false","Aviation","",,,"None","0","0","0","0","0",,,,"30.084800000000001","-98.182699999999997","WAG AERO","CUBY","AIR","NONE",,"true","1",,,"PERS","091","Substantial","VMC",,"In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/202265/pdf"
"CEN26LA084","ACC","202268","2025-12-26T17:01:00Z","Taylor","Texas","United States",,"N172BX","17254216","false","Aviation","",,,"None","0","0","0","0","0",,,,"30.566856000000001","-97.443299999999994","CESSNA","172","AIR","T74","TAYLOR MUNI","false","1",,,"PERS","091","Substantial","VMC",,"In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/202268/pdf"
"WPR26FA069","ACC","202208","2025-12-24T14:30:00Z","Rio Linda","California","United States",,"N2785Q","32-688","false","Aviation","",,,"Fatal","1","1","0","2",,,,,"38.665999999999997","-121.44799999999999","PIPER","PA-32-260","AIR","L36","RIO LINDA","false","1",,,"PERS","091","Substantial","VMC",,"In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/202208/pdf"
"GAA26WA060","ACC","202229","2025-12-23T22:45:00Z","Ankara","Other Foreign","Turkey",,"9H-DFS",,"false","Aviation","",,,"Fatal","8","0","0","8","0",,,,,,"DASSAULT","FALCON50","AIR",,,"false",,,,"EXEC","NUSN","Destroyed",,,"N/A",,"Prelim","","None"
