"NtsbNo","EventType","Mkey","EventDate","City","State","Country","ReportNo","N#","SerialNumber","HasSafetyRec","Mode","ReportType","OriginalPublishedDate","DocketOriginalPublishedDate","HighestInjuryLevel","FatalInjuryCount","SeriousInjuryCount","MinorInjuryCount","OnboardInjuryCount","OnGroundInjuryCount","ProbableCause","Findings","EventID","Latitude","Longitude ","Make","Model","AirCraftCategory","AirportID","AirportName","AmateurBuilt","NumberOfEngines","EngineType","Scheduled","PurposeOfFlight","FAR","AirCraftDamage","WeatherCondition","Operator","ReportStatus","RepGenFlag","MostRecentReportType","DocketUrl","ReportUrl"
"CEN25LA284","ACC","200617","2025-07-23T11:45:00Z","New Hudson","Michigan","United States",,"N1812J","28-24240","false","Aviation","DirectorBrief","2025-10-09T04:00:00Z","2025-10-09T17:00:00Z","Minor","0","0","1","1",,"The student pilot’s improper landing flare and the flight instructor’s delayed remedial action during landing that resulted in a loss of control and impact with terrain.","Personnel issues - Action/decision - Action - Delayed action - Instructor/check pilot, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Landing flare - Not attained/maintained, Personnel issues - Task performance - Use of equip/info - Aircraft control - Instructor/check pilot",,"42.514899999999997","-83.608199999999997","PIPER","PA-28-140","AIR","Y47","Oakland Southwest Airport","false","1","REC",,"INST","091","Substantial","VMC","ECHO AVIATION II LLC","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=200617","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200617/pdf"
"GAA25WA217","ACC","200644","2025-07-23T09:40:00Z","Siviez",,"Switzerland",,"HB-ZAO",,"false","Aviation","","2025-09-23T04:00:00Z",,"None","0","0","0","0",,,,,,,"KAMAN","K-Max","HELI",,,"false",,,,,"NUSC","Substantial",,,"N/A",,"Final","","None"
"CEN25LA283","ACC","200616","2025-07-23T09:30:00Z","Hartsburg","Illinois","United States",,"N2371V","301-0420","false","Aviation","DirectorBrief","2025-11-14T05:00:00Z","2025-11-14T18:00:00Z","None","0","0","0","0","0","The pilot’s failure to maintain control of the airplane during takeoff with a tailwind from a wet turf airstrip.","Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Climb rate - Capability exceeded, Personnel issues - Action/decision - Info processing/decision - Decision making/judgment - Pilot, Environmental issues - Physical environment - Runway/land/takeoff/taxi surface - Soft surface - Effect on operation, Environmental issues - Conditions/weather/phenomena - Wind - Tailwind - Effect on operation",,"40.236699999999999","-89.427407000000002","AIR TRACTOR INC","AT-301","AIR","PVT","PVT","false","1","TP",,"AAPL","137","Substantial","VMC","T&M AIRCRAFT LLC","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=200616","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200616/pdf"
"CEN25LA299","ACC","200676","2025-07-23T09:15:00Z","Grenada","Mississippi","United States",,"N35025","5535","false","Aviation","DirectorBrief","2026-01-09T05:00:00Z","2026-01-09T19:00:00Z","None","0","0","0","0","0","The flight instructor’s inadequate supervision of the flight and improper decision to continue with a takeoff after the airplane swerved off the runway. Contributing to the accident was the student pilot’s failure to maintain directional control of the tailwheel-equipped airplane.","Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Directional control - Not attained/maintained, Personnel issues - Task performance - Use of equip/info - Aircraft control - Student/instructed pilot, Personnel issues - Action/decision - Info processing/decision - Decision making/judgment - Instructor/check pilot, Environmental issues - Physical environment - Object/animal/substance - Fence/fence post - Contributed to outcome, Personnel issues - Action/decision - Action - Delayed action - Instructor/check pilot, Personnel issues - Psychological - Attention/monitoring - Monitoring other person - Instructor/check pilot",,"33.839832999999999","-89.802417000000005","PIPER","J5A","AIR","GNF","Grenada Municipal Airport","false","1","REC",,"INST","091","Substantial","VMC",,"Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=200676","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200676/pdf"
"CEN25FA281","ACC","200614","2025-07-23T07:30:00Z","Thibodaux","Louisiana","United States",,"N2611","45417","false","Aviation","",,,"Fatal","1","0","0","1","0",,,,"29.801293999999999","-90.773972000000001","BELL HELICOPTER TEXTRON","206L-1","HELI",,,"false","1",,,"AAPL","137","Destroyed","VMC","Joe Brigham Inc.","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200614/pdf"
"WPR25LA228","ACC","200656","2025-07-22T18:06:00Z","Astoria","Oregon","United States",,"N3785Q","D-8413","false","Aviation","",,,"None","0","0","0","0",,,,,"46.157908999999997","-123.82389999999999","BEECH","V35","AIR","AST","ASTORIA RGNL","false","1",,,"PERS","091","Substantial","VMC","GO FLY MISSOULA LLC","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200656/pdf"
"WPR25LA227","ACC","200648","2025-07-22T17:40:00Z","Logan","Utah","United States",,"N422K","1000","false","Aviation","DirectorBrief","2025-10-02T04:00:00Z","2025-10-02T17:00:00Z","Minor","0","0","1","1",,"The pilot’s failure to maintain airplane control during takeoff in variable wind and high density altitude conditions.","Environmental issues - Conditions/weather/phenomena - Wind - Crosswind - Effect on operation, Personnel issues - Task performance - Use of equip/info - Use of equip/system - Pilot, Environmental issues - Conditions/weather/phenomena - Temp/humidity/pressure - High density altitude - Effect on operation, Personnel issues - Task performance - Planning/preparation - Weather planning - Pilot, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Lateral/bank control - Not attained/maintained",,"41.789999999999999","-111.84999999999999","HARTLINE J BON","HARTLINE KITFOX III","AIR","LGU","Logan Cache Airport","true","1","REC",,"PERS","091","Substantial","VMC",,"Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=200648","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200648/pdf"
"CEN25LA290","ACC","200642","2025-07-22T17:15:00Z","Lansing","Illinois","United States",,"N737HN","R18200829","false","Aviation","DirectorBrief","2025-12-04T05:00:00Z","2025-12-04T18:00:00Z","None","0","0","0","0","0","The pilot's failure to extend the landing gear before landing due to his distraction of other traffic and failure to follow his landing procedures.","Personnel issues - Action/decision - Action - Forgotten action/omission - Pilot, Personnel issues - Task performance - Use of equip/info - Use of equip/system - Pilot, Aircraft - Aircraft systems - Landing gear system - Gear extension and retract sys - Not used/operated, Personnel issues - Psychological - Attention/monitoring - Attention - Pilot, Personnel issues - Task performance - Use of equip/info - Use of policy/procedure - Pilot",,"41.531115999999997","-87.527794","CESSNA","R182","AIR","IGO","Lansing","false","1","REC",,"PERS","091","Substantial","VMC",,"Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=200642","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200642/pdf"
"CEN25LA279","ACC","200612","2025-07-22T15:32:00Z","Oshkosh","Wisconsin","United States",,"N71AW","1123","false","Aviation","DirectorBrief","2025-10-02T04:00:00Z","2025-10-02T17:00:00Z","None","0","0","0","0","0","The pilot’s failure to maintain control of the airplane while landing with a tailwind.","Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Landing flare - Not attained/maintained, Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot",,"43.975447000000003","-88.556804999999997","Dyke Delta","JD-2","AIR","KOSH","Wittman","true","1","REC",,"ASHO","091","Substantial","VMC",,"Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=200612","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200612/pdf"
"CEN25LA277","ACC","200610","2025-07-22T15:00:00Z","Maynard","Iowa","United States",,"N88911","0602","false","Aviation","",,,"None","0","0","0","0","0",,,,"42.75996","-91.927480000000003","ROBINSON HELICOPTER CO","R66","HELI",,,"false","1",,,"AAPL","137","Substantial","VMC","MIDWEST AVIATION LLC","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200610/pdf"
"CEN25LA276","ACC","200609","2025-07-22T14:22:00Z","Centralia","Missouri","United States",,"N1534D","402A-0855","false","Aviation","DirectorBrief","2025-10-09T04:00:00Z","2025-10-09T17:00:00Z","Serious","0","1","0","1",,"The pilot’s failure to maintain clearance from power lines during low-level maneuvering.","Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Altitude - Not attained/maintained, Personnel issues - Psychological - Attention/monitoring - Monitoring environment - Pilot",,"39.211599999999997","-92.138833000000005","AIR TRACTOR, INC.","AT-402A","AIR",,,"false","1","TP",,,"137","Substantial","VMC","EDGE AVIATION LLC","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=200609","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200609/pdf"
