"NtsbNo","EventType","Mkey","EventDate","City","State","Country","ReportNo","N#","SerialNumber","HasSafetyRec","Mode","ReportType","OriginalPublishedDate","DocketOriginalPublishedDate","HighestInjuryLevel","FatalInjuryCount","SeriousInjuryCount","MinorInjuryCount","OnboardInjuryCount","OnGroundInjuryCount","ProbableCause","Findings","EventID","Latitude","Longitude ","Make","Model","AirCraftCategory","AirportID","AirportName","AmateurBuilt","NumberOfEngines","EngineType","Scheduled","PurposeOfFlight","FAR","AirCraftDamage","WeatherCondition","Operator","ReportStatus","RepGenFlag","MostRecentReportType","DocketUrl","ReportUrl"
"ERA25LA262","ACC","200505","2025-06-23T23:00:00Z","East Hampton","New York","United States",,"N215MB","TH-2133","false","Aviation","",,,"None","0","0","0","0",,,,,"40.959654","-72.251341999999994","RAYTHEON AIRCRAFT COMPANY","G58","AIR","JPX","EAST HAMPTON TOWN","false","2",,,"POSI","091","Substantial","VMC","Doupe Services, LLC","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200505/pdf"
"ANC25LA069","ACC","200501","2025-06-23T16:30:00Z","Port Graham","Alaska","United States",,"N8630Z","P206-0430","false","Aviation","",,,"None","0","0","0","0",,,,,"59.349285000000002","-151.83125000000001","CESSNA","P206C","AIR","PGM","Port Graham","false","1",,,"UNK","091","Substantial",,"ALASKA VILLAGE MISSIONS","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200501/pdf"
"WPR25LA188","ACC","200384","2025-06-23T13:17:00Z","Morgan Hill","California","United States",,"N696WG","90842","false","Aviation","",,,"Minor","0","0","1","1",,,,,"37.156999999999996","-121.6815","FILBY GERRY","RV-9","AIR",,,"true","1",,,"PERS","091","Substantial","VMC",,"In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200384/pdf"
"CEN25FA216","ACC","200373","2025-06-23T11:21:00Z","Montrose","Colorado","United States",,"N250MK","001","false","Aviation","",,,"Fatal","2","0","0","2","0",,,,"38.519300999999999","-107.90407","Murphy Aircraft Manufacturing Limited","Moose","AIR","MTJ","Montrose Regional Airport","true","1",,,"FERY","091","Destroyed","VMC",,"In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200373/pdf"
"ERA25LA237","ACC","200382","2025-06-23T10:55:00Z","Swanzey","New Hampshire","United States",,"N62XF","VX2-008","false","Aviation","",,,"Minor","0","0","1","1",,,,,"42.906500000000001","-72.272599999999997","MARK C TIMNEY","GT-VX2","HELI","EEN",,"false","1",,,"PERS","091","Substantial","VMC",,"In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200382/pdf"
"ERA25LA235","ACC","200380","2025-06-23T10:35:00Z","Pace","Florida","United States",,"N262AL","R18201836","false","Aviation","",,,"None","0","0","0","0","0",,,,"30.725631","-87.200764000000007","CESSNA","R182","AIR","16FL","J-22 RANCH","false","1",,,"PUBU","091","Substantial",,"DALE COUNTY SHERIFFS OFFICE","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200380/pdf"
"CEN25LA219","ACC","200378","2025-06-22T20:18:00Z","Charleston","Missouri","United States",,"N114WL","502B-2960","false","Aviation","DirectorBrief","2025-10-02T04:00:00Z","2025-10-02T17:00:00Z","Minor","0","0","1","1","0","The pilot’s loss of control during the spray pass, which resulted in impact with vegetation and terrain.","Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot",,"36.849299999999999","-89.374529999999993","AIR TRACTOR INC","AT-502B","AIR","CHQ","MISSISSIPPI COUNTY","false","1","TP",,"AAPL","137","Substantial","VMC","THOMPSON FLYING SERVICE LLC","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=200378","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200378/pdf"
"DCA25LA239","ACC","200361","2025-06-22T19:38:00Z","Nashville","Tennessee","United States",,"N616NK",,"false","Aviation","",,,"Serious","0","1","0","1",,,,,"36.130201999999997","-86.675645000000003","AIRBUS","A320","AIR",,,"false",,,"SCHD",,"121","None",,"Spirit","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200361/pdf"
"WPR25LA183","ACC","200368","2025-06-22T15:15:00Z","Winchester","Idaho","United States",,"N31998","32R-7887019","false","Aviation","DirectorBrief","2025-09-16T04:00:00Z",,"Minor","0","0","2","2",,"The pilot’s improper fuel management resulting in fuel starvation, a total loss of engine power, and a subsequent off-airport forced landing. Contributing to the accident was the pilot’s reduced fuel level monitoring due to an inflight distraction.","Personnel issues - Task performance - Use of equip/info - Use of equip/system - Pilot, Aircraft - Fluids/misc hardware - Fluids - Fuel - Fluid management, Personnel issues - Psychological - Attention/monitoring - Monitoring equip/instruments - Pilot",,"46.28875","-116.63487000000001","PIPER","PA-32RT-300T","AIR",,,"false","1","REC",,"PERS","091","Substantial","VMC","LANCE GROUP LLC","Completed",,"Final","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200368/pdf"
"CEN25LA213","ACC","200363","2025-06-22T14:00:00Z","Clay Township","Michigan","United States",,"C-GPVB","9683","false","Aviation","DirectorBrief","2025-08-21T04:00:00Z","2025-08-21T17:00:00Z","None","0","0","0","0","0","The pilot’s failure to maintain control of the helicopter during landing.","Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Pitch control - Not attained/maintained",,"42.659689999999998","-82.621138999999999","AIRBUS HELICOPTERS","EC130","HELI","PVT","Private","false","1","TS",,"PERS","091","Substantial","VMC",,"Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=200363","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200363/pdf"
"GAA25WA191","ACC","200370","2025-06-22T04:00:00Z","Naboonspruit",,"South Africa",,"ZS-HFH",,"false","Aviation","","2025-07-02T04:00:00Z",,"Fatal","1","0","0","1",,,,,,,"Robinson","R44","HELI",,,"false","1",,,,"UNK","Substantial",,"Lim Air","N/A",,"Final","","None"
"DCA25LA240","ACC","200362","2025-06-22T04:00:00Z","Miami","Florida","United States",,"N189UW","1425","false","Aviation","DirectorBrief","2026-03-17T04:00:00Z","2026-03-17T18:00:00Z","Serious","0","1","9","10",,"The unexpected encounter with a rapidly developing convective cell during climb resulting in convectively induced turbulence on a dark moon-less evening.","Environmental issues - Conditions/weather/phenomena - Turbulence - Convective turbulence - Effect on personnel",,"25","-80","AIRBUS INDUSTRIE","A321-211","AIR",,,"false","2","TF","SCHD",,"121","None","VMC","AMERICAN AIRLINES INC","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=200362","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200362/pdf"
"CEN25LA227","ACC","200421","2025-06-21T18:15:00Z","Midlothian","Texas","United States",,"N852BG","34014-K-247","false","Aviation","DirectorBrief","2025-10-17T04:00:00Z","2025-10-17T17:00:00Z","None","0","0","0","0","0","The student pilot’s improper landing flare, which resulted in a hard landing.","Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Landing flare - Not attained/maintained, Personnel issues - Task performance - Use of equip/info - Aircraft control - Student/instructed pilot",,"32.458292999999998","-96.912526","BURKHART GROB","G-103A TWIN II ACRO","GLI","JWY","Mid-Way Regional Airport","false","0",,,"PERS","091","Substantial","VMC",,"Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=200421","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200421/pdf"
"GAA25WA189","ACC","200366","2025-06-21T04:00:00Z","Taghmon","Other Foreign","Ireland",,"EI-BSG",,"false","Aviation","","2025-09-04T04:00:00Z",,"Minor","0","0","1","1",,,"Not determined - Not determined - (general) - (general) - Other authority investigated",,"52.297580000000004","-6.6818","BENSEN","B8M","GYRO",,,"false","1","REC",,"PERS","NUSN","Substantial",,,"N/A",,"Final","","None"
"GAA25WA190","ACC","200369","2025-06-20T21:25:00Z","Nagqu City",,"China",,"B-10LZ",,"false","Aviation","","2025-08-07T04:00:00Z",,,,,,,,,,,,,"BEECH","C90","AIR",,,"false",,,,,"UNK","Substantial",,,"N/A",,"Final","","None"
"ERA25LA236","ACC","200381","2025-06-20T15:09:00Z","Dunavant","Virginia","United States",,"N878N","TLUSA130","false","Aviation","DirectorBrief","2025-11-14T05:00:00Z","2025-11-14T18:00:00Z","None","0","0","0","0","0","The inflight failure of the propeller due to its exceedance of the manufacturer’s overhaul requirement.","Aircraft - Aircraft propeller/rotor - Propeller system - Propeller blade section - Failure, Aircraft - Aircraft propeller/rotor - Propeller system - Propeller hub section - Not serviced/maintained",,"38","-77","Sting Sport","TL-2000","AIR","EZF","SHANNON","true","1","REC",,"PERS","091","Substantial","VMC",,"Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=200381","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200381/pdf"
